School,City,State,Zip,Lat,Lon,Region,Locale,2yr/4yr,Online only?,School size (students),Pubic or Private
Highline College,Des Moines,WA,98198-9800,47.388231,-122.303064,8,21.0,1,0.0,3983.0,1
West Virginia Junior College-Charleston,Charleston,WV,25301,38.34804,-81.63413,5,13.0,2,0.0,126.0,3
Potomac State College of West Virginia University,Keyser,WV,26726,39.438323,-78.981441,5,32.0,1,0.0,1099.0,1
Bellin College,Green Bay,WI,54311,44.468277,-87.921722,3,41.0,1,0.0,377.0,2
Southern West Virginia Community and Technical College,Mount Gay,WV,25637,37.851756,-82.023014,5,32.0,2,0.0,1341.0,1
Nashotah House,Nashotah,WI,53058-9793,43.082193,-88.423743,3,21.0,1,0.0,,2
Universidad Teologica del Caribe,Trujillo Alto,PR,00978-0901,18.373928,-66.010617,9,21.0,1,0.0,262.0,2
University of Wisconsin-Green Bay,Green Bay,WI,54311-7001,44.532298,-87.919973,3,12.0,1,0.0,6576.0,1
University of Guam,Mangilao,GU,96923,13.433047,144.803978,9,33.0,1,0.0,3375.0,1
Sacred Heart Seminary and School of Theology,Franklin,WI,53132,42.910829,-88.04438,3,21.0,1,0.0,,2
Escuela de Artes Plasticas y Diseno de Puerto Rico,San Juan,PR,00902-1112,18.46778,-66.121348,9,11.0,1,0.0,441.0,1
Metro Business College-Rolla,Rolla,MO,65401,37.937304,-91.754581,4,33.0,2,0.0,32.0,3
ICPR Junior College-General Institutional,Hato Rey,PR,00919-0304,18.415291,-66.05712,9,11.0,2,0.0,562.0,3
Bais Medrash Elyon,Monsey,NY,10952,41.114079,-74.069798,2,21.0,1,0.0,44.0,2
Georgia State University-Perimeter College,Atlanta,GA,30303-3083,33.753426,-84.385712,5,11.0,2,0.0,16312.0,1
