School,City,State,Zip,Lat,Lon,Region,Locale,2yr/4yr,Online only?,School size (students),Pubic or Private
Millikin University,Decatur,IL,62522-2084,39.842612,-88.976298,3,13.0,1,0.0,1918.0,2
Monmouth College,Monmouth,IL,61462-1998,40.914824,-90.63731,3,32.0,1,0.0,901.0,2
Illinois College,Jacksonville,IL,62650-2299,39.7313,-90.246171,3,32.0,1,0.0,971.0,2
Quincy University,Quincy,IL,62301-2699,39.938898,-91.385975,3,33.0,1,0.0,916.0,2
Olney Central College,Olney,IL,62450,38.735913,-88.099589,3,33.0,2,0.0,721.0,1
Morton College,Cicero,IL,60804-4398,41.824303,-87.762306,3,21.0,2,0.0,3384.0,1
Illinois Valley Community College,Oglesby,IL,61348-9692,41.30744,-89.100887,3,41.0,2,0.0,2135.0,1
Lincoln Christian University,Lincoln,IL,62656-2111,40.148924,-89.346721,3,32.0,1,0.0,398.0,2
Northern Baptist Theological Seminary,Lisle,IL,60532-1348,41.809104,-88.056162,3,21.0,1,0.0,,2
Holy Cross College,Notre Dame,IN,46556-0308,41.698996,-86.253822,3,21.0,1,0.0,498.0,2
Rush University,Chicago,IL,60612,41.874742,-87.668581,3,11.0,1,0.0,120.0,2
College of Court Reporting Inc,Valparaiso,IN,46385,41.467574,-87.066331,3,21.0,2,1.0,142.0,3
Huntington University,Huntington,IN,46750,40.898152,-85.497317,3,32.0,1,0.0,981.0,2
University of St Francis,Joliet,IL,60435-6188,41.532225,-88.096057,3,21.0,1,0.0,1590.0,2
Ivy Tech Community College,Indianapolis,IN,46208-5752,39.803753,-86.158213,3,11.0,2,0.0,59821.0,1
Saint Xavier University,Chicago,IL,60655,41.707199,-87.714749,3,11.0,1,0.0,2943.0,2
Don Roberts Beauty School,Valparaiso,IN,46385,41.472714,-87.077791,3,21.0,3,0.0,17.0,3
Shawnee Community College,Ullin,IL,62992,37.270198,-89.03352,3,43.0,2,0.0,845.0,1
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,46202-5143,39.772948,-86.172217,3,11.0,1,0.0,20651.0,1
Waubonsee Community College,Sugar Grove,IL,60554-9454,41.795955,-88.459925,3,41.0,2,0.0,6752.0,1
Southeastern Illinois College,Harrisburg,IL,62946,37.75174,-88.436631,3,42.0,2,0.0,839.0,1
Grace College and Theological Seminary,Winona Lake,IN,46590-1274,41.22595,-85.814228,3,32.0,1,0.0,1353.0,2
Wheaton College,Wheaton,IL,60187-5593,41.870176,-88.099643,3,21.0,1,0.0,2364.0,2
Spoon River College,Canton,IL,61520-8622,40.527991,-90.07233,3,41.0,2,0.0,967.0,1
Lincoln College of Technology-Indianapolis,Indianapolis,IN,46268,39.884503,-86.246276,3,11.0,2,0.0,961.0,3
Buena Vista University,Storm Lake,IA,50588,42.642255,-95.208529,4,33.0,1,0.0,1546.0,2
Manchester University,North Manchester,IN,46962,41.010549,-85.762643,3,32.0,1,0.0,1186.0,2
Capri College-Dubuque,Dubuque,IA,52004-0873,42.497357,-90.665565,4,13.0,2,0.0,142.0,3
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,47876-1099,39.508546,-87.463791,3,41.0,1,0.0,707.0,2
Saint Meinrad School of Theology,St. Meinrad,IN,47577,38.165546,-86.810388,3,43.0,1,0.0,,2
Saint Elizabeth School of Nursing,Lafayette,IN,47904-9988,40.427401,-86.88083,3,13.0,2,0.0,126.0,2
Iowa School of Beauty-Marshalltown,Marshalltown,IA,50158,42.015283,-92.915054,4,32.0,2,0.0,4.0,3
La James International College-Iowa City,Iowa City,IA,52245,41.663433,-91.532038,4,13.0,2,0.0,38.0,3
Hesston College,Hesston,KS,67062-2093,38.134558,-97.433883,4,32.0,1,0.0,419.0,2
Henderson Community College,Henderson,KY,42420-4699,37.797687,-87.650091,5,41.0,2,0.0,1004.0,1
Pittsburg State University,Pittsburg,KS,66762,37.392071,-94.702473,4,32.0,1,0.0,5067.0,1
Jefferson Community and Technical College,Louisville,KY,40202-2005,38.246027,-85.753615,5,11.0,2,0.0,8932.0,1
Summit Salon Academy-Lexington,Lexington,KY,40505,38.028451,-84.453521,5,11.0,2,0.0,37.0,3
University of Kansas,Lawrence,KS,66045,38.958549,-95.247567,4,13.0,1,0.0,19135.0,1
Kansas Wesleyan University,Salina,KS,67401-6196,38.813795,-97.607973,4,33.0,1,0.0,650.0,2
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,67226,37.75764,-97.224151,4,41.0,2,0.0,2632.0,1
Manhattan Area Technical College,Manhattan,KS,66503-2499,39.197774,-96.615672,4,13.0,2,0.0,435.0,1
Frontier Nursing University,Hyden,KY,41749,37.165605,-83.37937,5,42.0,1,1.0,,2
Wichita Technical Institute,Wichita,KS,67213-1927,37.656976,-97.371819,4,11.0,2,0.0,778.0,3
McPherson College,McPherson,KS,67460-1402,38.371422,-97.642996,4,33.0,1,0.0,716.0,2
PJ's College of Cosmetology-Glasgow,Glasgow,KY,42141,37.012713,-85.922275,5,32.0,2,0.0,32.0,3
Ashland Community and Technical College,Ashland,KY,41101-3683,38.469201,-82.650664,5,13.0,2,0.0,2007.0,1
Barrett and Company School of Hair Design,Nicholasville,KY,40356-2152,37.866361,-84.580326,5,31.0,3,0.0,51.0,3
Guy's Shreveport Academy of Cosmetology Inc,Shreveport,LA,71105,32.485759,-93.706628,5,12.0,3,0.0,73.0,3
Massachusetts Bay Community College,Wellesley Hills,MA,02481-5399,42.312292,-71.263821,1,21.0,2,0.0,3496.0,1
Massachusetts College of Art and Design,Boston,MA,02115-5882,42.336862,-71.099275,1,11.0,1,0.0,1828.0,1
Boston College,Chestnut Hill,MA,02467,42.336213,-71.169242,1,13.0,1,0.0,9639.0,2
William James College,Newton,MA,02459,42.294995,-71.203256,1,13.0,1,0.0,14.0,2
Bridgewater State University,Bridgewater,MA,02325,41.98749,-70.974553,1,21.0,1,0.0,9312.0,1
Laboure College,Milton,MA,02186,42.260866,-71.058279,1,21.0,1,0.0,845.0,2
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,02445-7415,42.317018,-71.129418,1,21.0,1,0.0,65.0,2
College of Our Lady of the Elms,Chicopee,MA,01013,42.141781,-72.60154,1,21.0,1,0.0,1127.0,2
Pope St John XXIII National Seminary,Weston,MA,02493-2699,42.339408,-71.311059,1,21.0,1,0.0,,2
Saint John's Seminary,Brighton,MA,02135-3846,42.344146,-71.161998,1,11.0,1,0.0,24.0,2
New England School of Photography,Waltham,MA,02453,42.371534,-71.23665,1,13.0,3,0.0,40.0,3
Carnegie Institute,Troy,MI,48083,42.53889,-83.118801,3,13.0,2,0.0,134.0,3
Newbury College,Brookline,MA,02445,42.331032,-71.142082,1,21.0,1,0.0,635.0,2
North Bennet Street School,Boston,MA,02109,42.36279,-71.05452,1,11.0,2,0.0,152.0,2
Cleary University,Howell,MI,48843,42.586638,-83.879987,3,22.0,1,0.0,474.0,2
Southeastern Technical Institute,South Easton,MA,02375,42.010312,-71.081227,1,21.0,3,0.0,134.0,1
Cranbrook Academy of Art,Bloomfield Hills,MI,48304,42.568904,-83.250681,3,21.0,1,0.0,,2
Alma College,Alma,MI,48801-1599,43.38004,-84.672053,3,32.0,1,0.0,1396.0,2
Oakland University,Rochester Hills,MI,48309-4401,42.674573,-83.216418,3,21.0,1,0.0,15476.0,1
University of Mississippi,University,MS,38677-1848,34.365529,-89.537434,5,33.0,1,0.0,17784.0,1
Mississippi Valley State University,Itta Bena,MS,38941-1400,33.514142,-90.341274,5,33.0,1,0.0,1659.0,1
Mississippi Gulf Coast Community College,Perkinston,MS,39573,30.780784,-89.142952,5,42.0,2,0.0,7776.0,1
Delta Beauty College,Greenville,MS,38703,33.398819,-91.036701,5,33.0,2,0.0,15.0,3
Vermilion Community College,Ely,MN,55731-1918,47.905184,-91.837777,4,33.0,2,0.0,447.0,1
Dunwoody College of Technology,Minneapolis,MN,55403-1192,44.97281,-93.290608,4,11.0,1,0.0,1294.0,2
Mitchell Hamline School of Law,Saint Paul,MN,55105-3076,44.94202,-93.138224,4,11.0,1,0.0,,2
State Technical College of Missouri,Linn,MO,65051-9607,38.467699,-91.814259,4,42.0,2,0.0,1339.0,1
Southwest Mississippi Community College,Summit,MS,39666-0000,31.295121,-90.443295,5,33.0,2,0.0,1788.0,1
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,39.150497,-92.685253,4,32.0,1,0.0,1147.0,2
Merrell University of Beauty Arts and Science,Jefferson City,MO,65109,38.571057,-92.198801,4,13.0,3,0.0,58.0,3
Wesley Biblical Seminary,Ridgeland,MS,39157-1920,32.355011,-90.159447,5,12.0,1,0.0,,2
Mineral Area College,Park Hills,MO,63601-1000,37.845199,-90.481847,4,32.0,2,0.0,1873.0,1
Missouri Baptist University,Saint Louis,MO,63141-8698,38.641526,-90.462586,4,21.0,1,0.0,1818.0,2
Cottey College,Nevada,MO,64772,37.836127,-94.371311,4,33.0,1,0.0,271.0,2
Missouri Southern State University,Joplin,MO,64801-1595,37.095155,-94.461689,4,13.0,1,0.0,5122.0,1
Culver-Stockton College,Canton,MO,63435-1299,40.128993,-91.529374,4,43.0,1,0.0,975.0,2
Missouri Western State University,Saint Joseph,MO,64507,39.7575,-94.785643,4,13.0,1,0.0,4119.0,1
Drury University,Springfield,MO,65802-3791,37.219681,-93.286192,4,12.0,1,0.0,1486.0,2
Elaine Steven Beauty College,Saint Louis,MO,63136-5618,38.761399,-90.278574,4,21.0,3,0.0,135.0,3
A T Still University of Health Sciences,Kirksville,MO,63501,40.193648,-92.589183,4,33.0,1,0.0,,2
Lex La-Ray Technical Center,Lexington,MO,64067-1525,39.173683,-93.865563,4,32.0,3,0.0,32.0,1
Flathead Valley Community College,Kalispell,MT,59901,48.227389,-114.327258,7,41.0,2,0.0,1455.0,1
Missouri University of Science and Technology,Rolla,MO,65409,37.953426,-91.775583,4,33.0,1,0.0,6785.0,1
Washington University in St Louis,Saint Louis,MO,63130-4899,38.647929,-90.310604,4,21.0,1,0.0,7356.0,2
Neosho Beauty College,Neosho,MO,64850-1525,36.870562,-94.368636,4,32.0,3,0.0,33.0,3
Montana State University,Bozeman,MT,59717,45.666726,-111.048812,7,33.0,1,0.0,14566.0,1
Academy of Cosmetology,Bozeman,MT,59715-3544,45.680544,-111.039848,7,33.0,3,0.0,35.0,3
College of the Ozarks,Point Lookout,MO,65726-0017,36.616019,-93.238174,4,32.0,1,0.0,1548.0,2
Blackfeet Community College,Browning,MT,59417-0819,48.551927,-113.009387,7,41.0,2,0.0,290.0,2
Highlands College of Montana Tech,Butte,MT,59701,45.938145,-112.509365,7,33.0,2,0.0,413.0,1
Salish Kootenai College,Pablo,MT,59855,47.598592,-114.111635,7,42.0,1,0.0,672.0,2
Ranken Technical College,Saint Louis,MO,63113-2811,38.653303,-90.248465,4,11.0,1,0.0,1698.0,2
Dawson Community College,Glendive,MT,59330,47.085396,-104.725485,7,33.0,2,0.0,224.0,1
La'James International College,Fremont,NE,68025,41.44576,-96.482042,4,32.0,2,0.0,8.0,3
Bellevue University,Bellevue,NE,68005-3098,41.150225,-95.91764,4,21.0,1,0.0,6377.0,2
Career College of Northern Nevada,Sparks,NV,89434-7905,39.540865,-119.719415,8,21.0,2,0.0,359.0,3
University of Nebraska at Omaha,Omaha,NE,68182-0225,41.258769,-96.008516,4,11.0,1,0.0,12230.0,1
The Art Institute of Las Vegas,Henderson,NV,89074-7737,36.024552,-115.090268,8,11.0,1,0.0,545.0,3
University of Nevada-Las Vegas,Las Vegas,NV,89154,36.106047,-115.138462,8,12.0,1,0.0,24707.0,1
Hastings College,Hastings,NE,68901,40.59025,-98.374403,4,32.0,1,0.0,962.0,2
University of New Hampshire at Manchester,Manchester,NH,03101-1113,42.987209,-71.468755,1,12.0,1,0.0,703.0,1
Western Nevada College,Carson City,NV,89703-7399,39.186158,-119.79036,8,13.0,1,0.0,2310.0,1
San Diego Miramar College,San Diego,CA,92126-2999,32.909757,-117.120261,8,11.0,2,0.0,13420.0,1
Hope International University,Fullerton,CA,92831-3199,33.87616,-117.88573,8,21.0,1,0.0,743.0,2
University of Redlands,Redlands,CA,92373-0999,34.064218,-117.163218,8,13.0,1,0.0,2945.0,2
College of the Redwoods,Eureka,CA,95501-9300,40.698427,-124.195293,8,41.0,2,0.0,3971.0,1
San Francisco State University,San Francisco,CA,94132,37.721224,-122.476799,8,11.0,1,0.0,25799.0,1
Sierra College,Rocklin,CA,95677-3397,38.790773,-121.211688,8,21.0,2,0.0,16171.0,1
Riverside City College,Riverside,CA,92506,33.970918,-117.384323,8,11.0,2,0.0,19022.0,1
Simpson University,Redding,CA,96003-8606,40.61334,-122.332981,8,13.0,1,0.0,667.0,2
College of the Siskiyous,Weed,CA,96094-2899,41.413005,-122.38909,8,33.0,2,0.0,1398.0,1
United Education Institute-Huntington Park Campus,Huntington Park,CA,90255,33.986057,-118.226206,8,21.0,3,0.0,810.0,3
Westmont College,Santa Barbara,CA,93108-1089,34.450151,-119.662517,8,22.0,1,0.0,1266.0,2
University of Colorado Boulder,Boulder,CO,80309-0017,40.008781,-105.270823,7,12.0,1,0.0,29753.0,1
Concorde Career College-North Hollywood,North Hollywood,CA,91606-3134,34.186407,-118.403627,8,11.0,2,0.0,617.0,3
Walden University,Minneapolis,MN,55401,44.98125,-93.265738,4,11.0,1,1.0,6910.0,3
Vanguard University of Southern California,Costa Mesa,CA,92626,33.662686,-117.900911,8,12.0,1,0.0,1842.0,2
Aims Community College,Greeley,CO,80634,40.409559,-104.763415,7,12.0,2,0.0,3834.0,1
West Los Angeles College,Culver City,CA,90230-3519,34.004512,-118.386664,8,21.0,1,0.0,10507.0,1
Colorado School of Trades,Lakewood,CO,80215-2996,39.74181,-105.104174,7,12.0,2,0.0,135.0,3
University of Southern California,Los Angeles,CA,90089,34.021281,-118.284169,8,11.0,1,0.0,19548.0,2
Colorado Technical University-Colorado Springs,Colorado Springs,CO,80907-3812,38.894265,-104.833928,7,11.0,1,0.0,22243.0,3
Lincoln College of Technology-Denver,Denver,CO,80239,39.77651,-104.856171,7,11.0,2,0.0,1303.0,3
Branford Hall Career Institute-Branford Campus,Branford,CT,06405,41.278557,-72.848201,1,21.0,3,0.0,117.0,3
Pueblo Community College,Pueblo,CO,81004-1499,38.262124,-104.636258,7,12.0,1,0.0,3757.0,1
University of Bridgeport,Bridgeport,CT,06604-5620,41.164741,-73.190166,1,12.0,1,0.0,3415.0,2
Central Connecticut State University,New Britain,CT,06050,41.692502,-72.765991,1,21.0,1,0.0,9325.0,1
Mitchell College,New London,CT,06320,41.328013,-72.09523,1,13.0,1,0.0,588.0,2
Pickens Technical College,Aurora,CO,80011-9307,39.723705,-104.789683,7,11.0,2,0.0,1202.0,1
Goodwin College,East Hartford,CT,06118,41.742977,-72.64032,1,13.0,1,0.0,3157.0,2
Norwalk Community College,Norwalk,CT,06854,41.102574,-73.450965,1,13.0,2,0.0,4400.0,1
University of Northern Colorado,Greeley,CO,80639,40.410855,-104.692777,7,12.0,1,0.0,8903.0,1
Hartford Seminary,Hartford,CT,06105-2260,41.769861,-72.707766,1,12.0,1,0.0,,2
Altierus Career College-Thornton,Thornton,CO,80229-4339,39.86156,-104.985441,7,21.0,2,0.0,7.0,2
Holy Apostles College and Seminary,Cromwell,CT,06416-2005,41.60682,-72.647853,1,21.0,1,0.0,137.0,2
Wesleyan University,Middletown,CT,06459,41.554665,-72.657146,1,13.0,1,0.0,2922.0,2
Porter and Chester Institute of Stratford,Stratford,CT,06615-7158,41.169646,-73.149023,1,13.0,3,0.0,1982.0,3
College of Central Florida,Ocala,FL,34474,29.166079,-82.175692,5,13.0,1,0.0,5711.0,1
Yale University,New Haven,CT,06520,41.311158,-72.926688,1,12.0,1,0.0,5963.0,2
Quinebaug Valley Community College,Danielson,CT,06239-1436,41.82623,-71.889673,1,21.0,2,0.0,1236.0,1
Chipola College,Marianna,FL,32446-2053,30.789228,-85.23139,5,32.0,1,0.0,1496.0,1
University of Saint Joseph,West Hartford,CT,06117,41.781041,-72.72965,1,13.0,1,0.0,865.0,2
Atlantic Technical College,Coconut Creek,FL,33063-3902,26.24278,-80.192271,5,21.0,2,0.0,3626.0,1
Barry University,Miami,FL,33161-6695,25.878908,-80.198925,5,21.0,1,0.0,3368.0,2
Lynn University,Boca Raton,FL,33431-5598,26.385985,-80.122806,5,13.0,1,0.0,2194.0,2
Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,DE,19958,38.771565,-75.142864,2,32.0,2,0.0,65.0,2
United States Coast Guard Academy,New London,CT,06320-4195,41.375823,-72.101583,0,13.0,1,0.0,1071.0,1
Delaware Technical Community College-Terry,Dover,DE,19901,39.198371,-75.56012,2,13.0,1,0.0,12152.0,1
Delaware State University,Dover,DE,19901,39.187173,-75.54053,2,13.0,1,0.0,3835.0,1
Flagler College-St Augustine,Saint Augustine,FL,32084,29.892733,-81.314887,5,23.0,1,0.0,2589.0,2
Schilling-Douglas School of Hair Design LLC,Newark,DE,19711,39.711442,-75.74178,2,21.0,3,0.0,123.0,3
Manatee Technical College,Bradenton,FL,34203,27.447894,-82.481088,5,21.0,2,0.0,1132.0,1
Concorde Career Institute-Miramar,Miramar,FL,33025,25.977088,-80.291516,5,21.0,2,0.0,559.0,3
Cortiva Institute-Florida,St. Petersburg,FL,33713,27.793547,-82.680031,5,11.0,3,0.0,173.0,3
Miami Lakes Educational Center and Technical College,Miami Lakes,FL,33014,25.916128,-80.29513,5,21.0,2,0.0,623.0,1
International Academy,South Daytona,FL,32119,29.162159,-80.997811,5,21.0,3,0.0,132.0,3
AI Miami International University of Art and Design,Miami,FL,33132-1418,25.790008,-80.18839,5,11.0,1,0.0,1290.0,3
Florida International University,Miami,FL,33199,25.75732,-80.373928,5,21.0,1,0.0,41777.0,1
Pinellas Technical College-Clearwater,Clearwater,FL,33760-2140,27.911922,-82.719064,5,21.0,3,0.0,520.0,1
Beauty Schools of America-Miami,Miami,FL,33144,25.759918,-80.304459,5,21.0,3,0.0,201.0,3
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,33309,26.185869,-80.163959,5,12.0,1,0.0,17813.0,2
Florida Career College-Miami,Miami,FL,33174,25.756567,-80.36778,5,21.0,2,0.0,444.0,3
Saint Vincent de Paul Regional Seminary,Boynton Beach,FL,33436-4899,26.516538,-80.125185,5,21.0,1,0.0,,2
Florida State University,Tallahassee,FL,32306-1037,30.440756,-84.291921,5,12.0,1,0.0,32072.0,1
Full Sail University,Winter Park,FL,32792-7429,28.596546,-81.301286,5,21.0,1,0.0,18545.0,3
State College of Florida-Manatee-Sarasota,Bradenton,FL,34207,27.43804,-82.590887,5,21.0,1,0.0,8203.0,1
George T Baker Aviation Technical College,Miami,FL,33142,25.804092,-80.263591,5,21.0,2,0.0,795.0,1
Talmudic College of Florida,Miami Beach,FL,33140-3854,25.811996,-80.136293,5,13.0,1,0.0,21.0,2
Berry College,Mount Berry,GA,30149,34.290414,-85.189202,5,41.0,1,0.0,1913.0,2
Altierus Career College-Tampa,Tampa,FL,33614-5801,27.996582,-82.497616,5,11.0,2,0.0,222.0,2
The University of Tampa,Tampa,FL,33606-1490,27.948455,-82.46483,5,11.0,1,0.0,8422.0,2
Brown College of Court Reporting,Atlanta,GA,30309,33.784769,-84.389979,5,11.0,2,0.0,181.0,3
Columbus Technical College,Columbus,GA,31904-6572,32.508076,-84.978551,5,12.0,2,0.0,2754.0,1
Georgia Northwestern Technical College,Rome,GA,30161,34.224673,-85.171361,5,13.0,2,0.0,3816.0,1
University of South Florida-Main Campus,Tampa,FL,33620-9951,28.061458,-82.413232,5,11.0,1,0.0,31321.0,1
Atlanta Metropolitan State College,Atlanta,GA,30310-4448,33.70893,-84.404659,5,11.0,1,0.0,1934.0,1
The University of West Florida,Pensacola,FL,32514-5750,30.549076,-87.218511,5,13.0,1,0.0,9371.0,1
Bene's Career Academy,New Port Richey,FL,34652,28.259612,-82.728584,5,21.0,3,0.0,355.0,3
University of Hawaii at Manoa,Honolulu,HI,96822-2217,21.298598,-157.818979,8,11.0,1,0.0,12609.0,1
Hawaii Pacific University,Honolulu,HI,96813,21.310306,-157.859645,8,11.0,1,0.0,3160.0,2
Mercer University,Macon,GA,31207,32.831787,-83.648295,5,12.0,1,0.0,4765.0,2
Georgia Southern University,Statesboro,GA,30460-8126,32.426153,-81.784045,5,32.0,1,0.0,22239.0,1
Leeward Community College,Pearl City,HI,96782-3366,21.39267,-157.983771,8,21.0,2,0.0,4634.0,1
Thomas University,Thomasville,GA,31792,30.815576,-83.963587,5,32.0,1,0.0,651.0,2
University of Hawaii-West Oahu,Kapolei,HI,96707-4507,21.35531,-158.056403,8,21.0,1,0.0,2743.0,1
Valdosta State University,Valdosta,GA,31698,30.847402,-83.289282,5,13.0,1,0.0,8404.0,1
University of West Georgia,Carrollton,GA,30118-0001,33.573621,-85.097762,5,31.0,1,0.0,10448.0,1
Eastwick College-Nutley,Nutley,NJ,07110,40.810742,-74.144192,2,21.0,2,0.0,486.0,3
Robert Fiance Beauty Schools-West New York,West New York,NJ,07093-4623,40.786079,-74.018286,2,21.0,3,0.0,64.0,3
Lincoln Technical Institute-South Plainfield,South Plainfield,NJ,07080-2424,40.551078,-74.420989,2,21.0,2,0.0,318.0,3
Essex County College,Newark,NJ,07102,40.738444,-74.178234,2,11.0,2,0.0,7014.0,1
Barnard College,New York,NY,10027-6598,40.810098,-73.963346,2,11.0,1,0.0,2557.0,2
New Mexico Institute of Mining and Technology,Socorro,NM,87801,34.067041,-106.905211,6,33.0,1,0.0,1333.0,1
Western New Mexico University,Silver City,NM,88061,32.7767,-108.283284,6,33.0,1,0.0,1738.0,1
Brittany Beauty Academy,Brooklyn,NY,11209,40.62318,-74.028581,2,11.0,3,0.0,105.0,3
Hocking College,Nelsonville,OH,45764,39.441954,-82.220791,3,32.0,2,0.0,2327.0,1
James A Rhodes State College,Lima,OH,45804,40.738347,-84.026319,3,23.0,2,0.0,1863.0,1
Lorain County Community College,Elyria,OH,44035-1691,41.413293,-82.073549,3,13.0,1,0.0,7346.0,1
North Central State College,Mansfield,OH,44901-0698,40.798777,-82.581582,3,41.0,2,0.0,1762.0,1
Ohio University-Eastern Campus,Saint Clairsville,OH,43950,40.073392,-80.976073,3,41.0,1,0.0,396.0,1
Notre Dame College,Cleveland,OH,44121-4293,41.506894,-81.516617,3,21.0,1,0.0,1340.0,2
Tiffin University,Tiffin,OH,44883,41.118316,-83.184197,3,32.0,1,0.0,1995.0,2
Ohio University-Lancaster Campus,Lancaster,OH,43130-1037,39.738752,-82.586069,3,41.0,1,0.0,1387.0,1
Tri-County Adult Career Center,Nelsonville,OH,45764,39.433202,-82.210554,3,41.0,2,0.0,51.0,1
Ohio Technical College,Cleveland,OH,44103,41.518038,-81.656868,3,11.0,2,0.0,905.0,3
Ohio Northern University,Ada,OH,45810-1599,40.7662,-83.827441,3,31.0,1,0.0,2144.0,2
Ohio State University Agricultural Technical Institute,Wooster,OH,44691-4000,40.775194,-81.922936,3,32.0,2,0.0,660.0,1
Owens Community College,Perrysburg,OH,43551,41.587998,-83.538634,3,21.0,2,0.0,5812.0,1
Ohio State University-Newark Campus,Newark,OH,43055,40.069314,-82.447441,3,23.0,1,0.0,2771.0,1
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,73117-1221,35.47928,-97.496289,6,11.0,1,0.0,759.0,1
Southwestern Oklahoma State University,Weatherford,OK,73096-3001,35.535281,-98.707768,6,33.0,1,0.0,4242.0,1
Tulsa Community College,Tulsa,OK,74135-6198,36.106788,-95.90825,6,11.0,2,0.0,13903.0,1
New Hope Christian College-Eugene,Eugene,OR,97405,44.032674,-123.15355,8,12.0,1,0.0,92.0,2
Oregon State University,Corvallis,OR,97331,44.56395,-123.274723,8,13.0,1,0.0,24787.0,1
Western Seminary,Portland,OR,97215-3367,45.512091,-122.606374,8,11.0,1,0.0,,2
Lane Community College,Eugene,OR,97405-0640,44.009325,-123.032644,8,41.0,2,0.0,6607.0,1
Northwest College-Clackamas,Happy Valley,OR,97086,45.438533,-122.576902,8,21.0,2,0.0,60.0,3
University of Portland,Portland,OR,97203-5798,45.572724,-122.726691,8,11.0,1,0.0,3757.0,2
Pennsylvania State University-Dickinson Law,Carlisle,PA,17013-2861,40.199443,-77.197794,2,13.0,1,0.0,,1
Douglas Education Center,Monessen,PA,15062,40.161519,-79.888461,2,23.0,2,0.0,213.0,3
Aria Health School of Nursing,Trevose,PA,19053-6939,40.125175,-74.978275,2,21.0,2,0.0,98.0,2
Jolie Hair and Beauty Academy-Wilkes-Barre,Wilkes Barre,PA,18702,41.243358,-75.87378,2,13.0,3,0.0,101.0,3
Moore College of Art and Design,Philadelphia,PA,19103-1179,39.957078,-75.172105,2,11.0,1,0.0,372.0,2
St Margaret School of Nursing,Pittsburgh,PA,15238-3250,40.491687,-79.863106,2,21.0,2,0.0,102.0,2
Pennsylvania State University-Penn State Beaver,Monaca,PA,15061-2764,40.678254,-80.296235,2,21.0,1,0.0,576.0,1
Triangle Tech Inc-Greensburg,Greensburg,PA,15601-3304,40.303168,-79.539468,2,21.0,2,0.0,120.0,3
Bryant University,Smithfield,RI,02917-1291,41.920092,-71.539547,1,21.0,1,0.0,3471.0,2
New England Institute of Technology,East Greenwich,RI,02818-1205,41.661783,-71.502892,1,21.0,1,0.0,2596.0,2
Technical College of the Lowcountry,Beaufort,SC,29901-1288,32.420197,-80.689468,5,32.0,2,0.0,1817.0,1
Providence College,Providence,RI,02918-0001,41.842742,-71.437446,1,12.0,1,0.0,4079.0,2
Kenneth Shuler School of Cosmetology and Nails-Columbia,Columbia,SC,29210,34.045282,-81.132969,5,21.0,3,0.0,130.0,3
Community College of Rhode Island,Warwick,RI,02886-1807,41.712817,-71.481509,1,13.0,2,0.0,13819.0,1
Avera Sacred Heart Hospital,Yankton,SD,57078-3899,42.872359,-97.407865,4,33.0,2,0.0,15.0,2
Headlines Academy Inc,Rapid City,SD,57701,44.08202,-103.222781,4,13.0,2,0.0,77.0,3
Memphis College of Art,Memphis,TN,38104-2764,35.145929,-89.993761,5,11.0,1,0.0,111.0,2
University of Memphis,Memphis,TN,38152,35.118878,-89.938068,5,11.0,1,0.0,15563.0,1
Tennessee College of Applied Technology-Oneida-Huntsville,Huntsville,TN,37756-4149,36.408177,-84.528273,5,32.0,2,0.0,311.0,1
Walters State Community College,Morristown,TN,37813-6899,36.213179,-83.262503,5,13.0,2,0.0,4620.0,1
William Moore College of Technology,Memphis,TN,38104-7240,35.144855,-90.020138,5,11.0,2,0.0,260.0,2
Southwest Tennessee Community College,Memphis,TN,38103,35.138532,-90.036723,5,11.0,2,0.0,8382.0,1
Trevecca Nazarene University,Nashville,TN,37210,36.141324,-86.754238,5,11.0,1,0.0,2189.0,2
Baylor University,Waco,TX,76798,31.546872,-97.121041,6,12.0,1,0.0,14159.0,2
Jarvis Christian College,Hawkins,TX,75765-1470,32.587942,-95.181513,6,42.0,1,0.0,955.0,2
Dallas Theological Seminary,Dallas,TX,75204,32.795361,-96.780497,6,11.0,1,0.0,,2
Vet Tech Institute of Houston,Houston,TX,77027,29.728907,-95.455533,6,11.0,2,0.0,176.0,3
Trinity Valley Community College,Athens,TX,75751,32.196596,-95.858513,6,32.0,2,0.0,3917.0,1
Laredo Beauty College Inc,Laredo,TX,78040,27.523791,-99.480788,6,11.0,3,0.0,109.0,3
Cisco College,Cisco,TX,76437,32.401132,-98.985206,6,33.0,2,0.0,3253.0,1
El Paso Community College,El Paso,TX,79925-6507,31.773359,-106.373616,6,11.0,2,0.0,27684.0,1
College of the Mainland,Texas City,TX,77591-2499,29.39581,-94.999602,6,22.0,2,0.0,3248.0,1
Episcopal Theological Seminary of the Southwest,Austin,TX,78705,30.293092,-97.732652,6,11.0,1,0.0,,2
