School,State,Online only?,School size (students),2yr/4yr,Pubic or Private,Tuition (in state),Tuition (out of state),Earnings after 10 years - mean,Earnings after 10 years - median,Earnings after 10 years - std,Earnings after 10 years - mean - female,Earnings after 10 years - mean - male,Earnings after 6 years - mean,Earnings after 6 years - median,Earnings after 6 years - std,Earnings after 6 years - mean - female,Earnings after 6 years - mean - male
Millikin University,IL,0.0,1918.0,1,2,35002.0,35002.0,48900.0,42200.0,42500.0,42800.0,56700.0,35900.0,33000.0,23400.0,34200.0,38300.0
Monmouth College,IL,0.0,901.0,1,2,37674.0,37674.0,45800.0,42900.0,26000.0,41600.0,51400.0,32800.0,31300.0,19200.0,28700.0,36900.0
Illinois College,IL,0.0,971.0,1,2,33090.0,33090.0,44300.0,41000.0,26800.0,41400.0,48600.0,32600.0,31400.0,18000.0,29700.0,35500.0
Quincy University,IL,0.0,916.0,1,2,28562.0,28562.0,44400.0,38900.0,45900.0,35600.0,53700.0,33100.0,31100.0,17500.0,31900.0,34900.0
Olney Central College,IL,0.0,721.0,2,1,3970.0,11734.0,31900.0,28100.0,21700.0,27600.0,42400.0,22900.0,20300.0,17500.0,20000.0,28100.0
Morton College,IL,0.0,3384.0,2,1,4372.0,10516.0,40900.0,38300.0,25800.0,38100.0,46000.0,27600.0,24800.0,18900.0,26500.0,29600.0
Illinois Valley Community College,IL,0.0,2135.0,2,1,4000.0,11782.0,35200.0,32000.0,25400.0,30200.0,43300.0,27000.0,24000.0,19500.0,24000.0,32100.0
Lincoln Christian University,IL,0.0,398.0,1,2,13200.0,13200.0,30000.0,27000.0,22400.0,23200.0,36000.0,29800.0,25600.0,19400.0,26300.0,33000.0
Northern Baptist Theological Seminary,IL,0.0,,1,2,,,,,,,,,,,,
Holy Cross College,IN,0.0,498.0,1,2,30700.0,30700.0,45000.0,39300.0,35700.0,39600.0,49500.0,29300.0,28000.0,18600.0,28100.0,29900.0
Rush University,IL,0.0,120.0,1,2,,,84600.0,68800.0,65900.0,,,69100.0,61100.0,37200.0,65400.0,81700.0
College of Court Reporting Inc,IN,1.0,142.0,2,3,9050.0,9050.0,28500.0,28000.0,19400.0,,,29100.0,25700.0,21400.0,,
Huntington University,IN,0.0,981.0,1,2,26158.0,26158.0,37100.0,35300.0,23200.0,32500.0,43300.0,30800.0,28400.0,19600.0,28200.0,33800.0
University of St Francis,IL,0.0,1590.0,1,2,32320.0,32320.0,50000.0,45500.0,32500.0,45600.0,59900.0,45700.0,44500.0,24800.0,45500.0,46300.0
Ivy Tech Community College,IN,0.0,59821.0,2,1,4368.0,8402.0,34900.0,32300.0,23300.0,32900.0,39800.0,27500.0,25400.0,18200.0,26300.0,29700.0
Saint Xavier University,IL,0.0,2943.0,1,2,33880.0,33880.0,53700.0,49500.0,47100.0,49300.0,64600.0,40800.0,37000.0,26600.0,40100.0,42200.0
Don Roberts Beauty School,IN,0.0,17.0,3,3,,,,,,,,,,,,
Shawnee Community College,IL,0.0,845.0,2,1,4000.0,6464.0,27300.0,24900.0,18800.0,25100.0,32800.0,21300.0,19000.0,15500.0,19200.0,24900.0
Indiana University-Purdue University-Indianapolis,IN,0.0,20651.0,1,1,9465.0,29821.0,44800.0,40300.0,37000.0,39900.0,51800.0,40700.0,35100.0,34400.0,36500.0,46800.0
Waubonsee Community College,IL,0.0,6752.0,2,1,3264.0,9036.0,38000.0,35100.0,25400.0,36900.0,40300.0,29100.0,26400.0,20100.0,28000.0,31200.0
Southeastern Illinois College,IL,0.0,839.0,2,1,3960.0,6180.0,34100.0,28900.0,32300.0,28000.0,43500.0,23900.0,19700.0,18600.0,19500.0,31000.0
Grace College and Theological Seminary,IN,0.0,1353.0,1,2,24768.0,24768.0,38100.0,34600.0,29000.0,28300.0,50100.0,28600.0,27200.0,18200.0,25100.0,34100.0
Wheaton College,IL,0.0,2364.0,1,2,36420.0,36420.0,54600.0,45100.0,62300.0,38300.0,69400.0,35700.0,32700.0,24600.0,31300.0,39900.0
Spoon River College,IL,0.0,967.0,2,1,4950.0,11370.0,32000.0,29000.0,21200.0,27700.0,38500.0,27700.0,23400.0,21200.0,24400.0,32700.0
Lincoln College of Technology-Indianapolis,IN,0.0,961.0,2,3,,,36700.0,35000.0,22700.0,,,29600.0,28400.0,18300.0,21700.0,29900.0
Buena Vista University,IA,0.0,1546.0,1,2,34004.0,34004.0,43500.0,40600.0,26200.0,38300.0,51400.0,34200.0,32800.0,18000.0,31100.0,39800.0
Manchester University,IN,0.0,1186.0,1,2,32758.0,32758.0,45200.0,41700.0,28100.0,38800.0,50600.0,32200.0,32000.0,17300.0,29200.0,34400.0
Capri College-Dubuque,IA,0.0,142.0,2,3,,,22300.0,20600.0,14600.0,,,19800.0,19300.0,11900.0,,
Saint Mary-of-the-Woods College,IN,0.0,707.0,1,2,29960.0,29960.0,32700.0,31800.0,22300.0,,,28100.0,26900.0,16500.0,,
Saint Meinrad School of Theology,IN,0.0,,1,2,,,,,,,,,,,,
Saint Elizabeth School of Nursing,IN,0.0,126.0,2,2,19948.0,19948.0,45200.0,48900.0,25000.0,,,42900.0,42000.0,21400.0,,
Iowa School of Beauty-Marshalltown,IA,0.0,4.0,2,3,,,,,,,,,,,,
La James International College-Iowa City,IA,0.0,38.0,2,3,,,19400.0,18100.0,15300.0,,,22300.0,21200.0,12900.0,,
Hesston College,KS,0.0,419.0,1,2,26900.0,26900.0,35300.0,33500.0,22500.0,30200.0,40800.0,32200.0,28400.0,19800.0,32900.0,31400.0
Henderson Community College,KY,0.0,1004.0,2,1,4248.0,14400.0,33400.0,30100.0,23100.0,29800.0,47100.0,26500.0,23100.0,18400.0,24200.0,33900.0
Pittsburg State University,KS,0.0,5067.0,1,1,7298.0,18642.0,42700.0,39100.0,29700.0,34200.0,50200.0,35600.0,33100.0,21700.0,29900.0,40200.0
Jefferson Community and Technical College,KY,0.0,8932.0,2,1,4328.0,14480.0,31800.0,28600.0,23800.0,30000.0,36100.0,24900.0,22800.0,17200.0,24100.0,26300.0
Summit Salon Academy-Lexington,KY,0.0,37.0,2,3,,,,,,,,,,,,
University of Kansas,KS,0.0,19135.0,1,1,11148.0,27358.0,54300.0,47000.0,46900.0,48100.0,60800.0,41800.0,36500.0,36700.0,39600.0,44100.0
Kansas Wesleyan University,KS,0.0,650.0,1,2,29500.0,29500.0,44000.0,39900.0,29200.0,39100.0,49700.0,31700.0,29700.0,20200.0,31100.0,32400.0
Wichita State University-Campus of Applied Sciences and Technology,KS,0.0,2632.0,2,1,6037.0,6878.0,33300.0,30500.0,22700.0,29100.0,38100.0,31400.0,30200.0,19500.0,31200.0,31600.0
Manhattan Area Technical College,KS,0.0,435.0,2,1,6750.0,6750.0,40900.0,37600.0,25800.0,33300.0,46500.0,39800.0,36800.0,24000.0,35400.0,41900.0
Frontier Nursing University,KY,1.0,,1,2,,,,,,,,,,,,
Wichita Technical Institute,KS,0.0,778.0,2,3,,,,,,,,22600.0,19900.0,16900.0,17000.0,27100.0
McPherson College,KS,0.0,716.0,1,2,28951.0,28951.0,39300.0,36800.0,26100.0,31100.0,45200.0,31000.0,28800.0,19800.0,29500.0,31900.0
PJ's College of Cosmetology-Glasgow,KY,0.0,32.0,2,3,,,,,,,,13700.0,10400.0,11100.0,,
Ashland Community and Technical College,KY,0.0,2007.0,2,1,4248.0,14400.0,29500.0,25400.0,22200.0,26900.0,36700.0,25500.0,20500.0,22100.0,20900.0,32800.0
Barrett and Company School of Hair Design,KY,0.0,51.0,3,3,,,,,,,,14300.0,12900.0,9600.0,,
Guy's Shreveport Academy of Cosmetology Inc,LA,0.0,73.0,3,3,,,21100.0,17700.0,17000.0,,,17900.0,16100.0,11800.0,,
Massachusetts Bay Community College,MA,0.0,3496.0,2,1,5088.0,10032.0,47500.0,42000.0,34000.0,45900.0,50600.0,35000.0,32100.0,23100.0,34500.0,35600.0
Massachusetts College of Art and Design,MA,0.0,1828.0,1,1,13200.0,36400.0,39900.0,36700.0,27800.0,36500.0,44900.0,29400.0,25900.0,19100.0,28900.0,30200.0
Boston College,MA,0.0,9639.0,1,2,55464.0,55464.0,85700.0,68100.0,77900.0,74900.0,98800.0,64800.0,54000.0,51000.0,58400.0,72800.0
William James College,MA,0.0,14.0,1,2,,,,,,,,,,,,
Bridgewater State University,MA,0.0,9312.0,1,1,10367.0,16507.0,46600.0,45000.0,28100.0,43100.0,51900.0,34500.0,33100.0,19600.0,32200.0,37400.0
Laboure College,MA,0.0,845.0,1,2,36962.0,36962.0,61900.0,62000.0,32600.0,,,47000.0,47500.0,24100.0,,
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,0.0,65.0,1,2,22490.0,22490.0,,,,,,,,,,
College of Our Lady of the Elms,MA,0.0,1127.0,1,2,35788.0,35788.0,42400.0,41700.0,25300.0,,,44000.0,38700.0,27300.0,45500.0,38500.0
Pope St John XXIII National Seminary,MA,0.0,,1,2,,,,,,,,,,,,
Saint John's Seminary,MA,0.0,24.0,1,2,24915.0,24915.0,,,,,,,,,,
New England School of Photography,MA,0.0,40.0,3,3,24200.0,24200.0,43500.0,34200.0,31700.0,,,23200.0,18700.0,15900.0,,
Carnegie Institute,MI,0.0,134.0,2,3,13670.0,13670.0,31000.0,29600.0,22900.0,,,31300.0,28200.0,19600.0,,
Newbury College,MA,0.0,635.0,1,2,35540.0,35540.0,39600.0,36200.0,26700.0,36700.0,44600.0,30700.0,30900.0,17100.0,30200.0,31500.0
North Bennet Street School,MA,0.0,152.0,2,2,,,46800.0,48100.0,32900.0,,,34900.0,33100.0,22900.0,,
Cleary University,MI,0.0,474.0,1,2,20550.0,20550.0,61700.0,55100.0,41900.0,54300.0,79000.0,45100.0,43500.0,27600.0,43000.0,47900.0
Southeastern Technical Institute,MA,0.0,134.0,3,1,,,42500.0,38100.0,29400.0,,,37900.0,37200.0,22800.0,,
Cranbrook Academy of Art,MI,0.0,,1,2,,,,,,,,,,,,
Alma College,MI,0.0,1396.0,1,2,40258.0,40258.0,50500.0,47600.0,31200.0,48000.0,53700.0,33100.0,30500.0,25300.0,31300.0,35100.0
Oakland University,MI,0.0,15476.0,1,1,12606.0,24230.0,48000.0,45900.0,29300.0,43400.0,57300.0,37300.0,33900.0,25000.0,35000.0,41200.0
University of Mississippi,MS,0.0,17784.0,1,1,8660.0,24614.0,57300.0,45300.0,64700.0,49400.0,66700.0,41500.0,33600.0,50300.0,36800.0,47900.0
Mississippi Valley State University,MS,0.0,1659.0,1,1,6550.0,6550.0,29400.0,26900.0,20100.0,26800.0,32100.0,21800.0,19700.0,14300.0,21400.0,22200.0
Mississippi Gulf Coast Community College,MS,0.0,7776.0,2,1,3670.0,6770.0,34500.0,30900.0,25000.0,31100.0,41000.0,26500.0,22200.0,27200.0,24000.0,30800.0
Delta Beauty College,MS,0.0,15.0,2,3,,,18100.0,17300.0,12100.0,,,13600.0,12200.0,9100.0,,
Vermilion Community College,MN,0.0,447.0,2,1,5325.0,6506.0,35900.0,33000.0,23200.0,27800.0,41400.0,29300.0,26800.0,20000.0,21200.0,30800.0
Dunwoody College of Technology,MN,0.0,1294.0,1,2,22046.0,22046.0,57400.0,56400.0,32000.0,,,40100.0,39200.0,21800.0,32200.0,40700.0
Mitchell Hamline School of Law,MN,0.0,,1,2,,,86800.0,77300.0,55000.0,,,60300.0,56300.0,34800.0,,
State Technical College of Missouri,MO,0.0,1339.0,2,1,6120.0,11160.0,39800.0,37900.0,21600.0,31700.0,41300.0,40200.0,36300.0,23900.0,33200.0,41000.0
Southwest Mississippi Community College,MS,0.0,1788.0,2,1,3280.0,5980.0,31700.0,26500.0,23800.0,28000.0,39200.0,25900.0,21700.0,19100.0,22600.0,31200.0
Central Methodist University-College of Liberal Arts and Sciences,MO,0.0,1147.0,1,2,24420.0,24420.0,39400.0,36400.0,24400.0,36700.0,42600.0,32100.0,29600.0,18100.0,30200.0,35200.0
Merrell University of Beauty Arts and Science,MO,0.0,58.0,3,3,,,,,,,,20300.0,18800.0,13800.0,,
Wesley Biblical Seminary,MS,0.0,,1,2,,,,,,,,,,,,
Mineral Area College,MO,0.0,1873.0,2,1,3670.0,6430.0,30100.0,27700.0,19900.0,27000.0,39300.0,23800.0,20800.0,16900.0,21400.0,28000.0
Missouri Baptist University,MO,0.0,1818.0,1,2,27124.0,27124.0,39200.0,35400.0,26200.0,35800.0,44700.0,29900.0,28600.0,17900.0,27100.0,34100.0
Cottey College,MO,0.0,271.0,1,2,21160.0,21160.0,36500.0,36200.0,20800.0,,,24400.0,23200.0,15000.0,,
Missouri Southern State University,MO,0.0,5122.0,1,1,6503.0,13005.0,37300.0,34300.0,24700.0,32600.0,43200.0,28500.0,26800.0,17600.0,25800.0,31800.0
Culver-Stockton College,MO,0.0,975.0,1,2,26680.0,26680.0,44800.0,38800.0,28300.0,40200.0,50500.0,31200.0,28100.0,24700.0,28900.0,33700.0
Missouri Western State University,MO,0.0,4119.0,1,1,7960.0,13835.0,37500.0,34200.0,26400.0,33200.0,44400.0,29200.0,27300.0,18300.0,27500.0,31300.0
Drury University,MO,0.0,1486.0,1,2,28515.0,28515.0,39000.0,34800.0,26600.0,34300.0,47000.0,28100.0,27000.0,18700.0,25300.0,32800.0
Elaine Steven Beauty College,MO,0.0,135.0,3,3,,,21600.0,17900.0,14300.0,,,15300.0,13500.0,11100.0,,
A T Still University of Health Sciences,MO,0.0,,1,2,,,,,,,,,,,,
Lex La-Ray Technical Center,MO,0.0,32.0,3,1,,,,,,,,,,,,
Flathead Valley Community College,MT,0.0,1455.0,2,1,4808.0,11948.0,32100.0,29400.0,23800.0,26300.0,42800.0,27600.0,23600.0,22200.0,24000.0,34700.0
Missouri University of Science and Technology,MO,0.0,6785.0,1,1,9440.0,26461.0,65500.0,63800.0,40700.0,51400.0,69900.0,55100.0,57600.0,33400.0,50200.0,56400.0
Washington University in St Louis,MO,0.0,7356.0,1,2,53399.0,53399.0,76300.0,61300.0,60800.0,68300.0,85300.0,60100.0,50600.0,48400.0,49800.0,71600.0
Neosho Beauty College,MO,0.0,33.0,3,3,,,15900.0,13900.0,12800.0,,,,,,,
Montana State University,MT,0.0,14566.0,1,1,7277.0,24993.0,46500.0,40400.0,35000.0,37300.0,53600.0,35500.0,31000.0,24500.0,31100.0,39500.0
Academy of Cosmetology,MT,0.0,35.0,3,3,,,,,,,,,,,,
College of the Ozarks,MO,0.0,1548.0,1,2,19360.0,19360.0,34300.0,30800.0,26300.0,28000.0,40600.0,26800.0,25100.0,14300.0,24000.0,29800.0
Blackfeet Community College,MT,0.0,290.0,2,2,3370.0,3370.0,20300.0,19300.0,15900.0,20500.0,20000.0,16300.0,11700.0,16000.0,14200.0,18700.0
Highlands College of Montana Tech,MT,0.0,413.0,2,1,3569.0,9371.0,50100.0,38400.0,47700.0,34000.0,66500.0,43400.0,33200.0,37900.0,32800.0,52600.0
Salish Kootenai College,MT,0.0,672.0,1,2,4220.0,11584.0,24900.0,20400.0,22500.0,24400.0,25900.0,21400.0,18100.0,18200.0,21300.0,21600.0
Ranken Technical College,MO,0.0,1698.0,1,2,14457.0,14457.0,52100.0,51700.0,28100.0,,,41000.0,38400.0,24000.0,,
Dawson Community College,MT,0.0,224.0,2,1,3720.0,7770.0,35300.0,33100.0,23700.0,27100.0,42000.0,29100.0,24300.0,22300.0,23100.0,35200.0
La'James International College,NE,0.0,8.0,2,3,,,17600.0,15800.0,13600.0,,,16400.0,17000.0,10400.0,,
Bellevue University,NE,0.0,6377.0,1,2,7827.0,7827.0,58000.0,52800.0,36900.0,50000.0,66800.0,50600.0,44400.0,34300.0,42600.0,60500.0
Career College of Northern Nevada,NV,0.0,359.0,2,3,,,27300.0,25200.0,20600.0,24800.0,34400.0,24400.0,24500.0,16500.0,23700.0,27600.0
University of Nebraska at Omaha,NE,0.0,12230.0,1,1,7790.0,20764.0,47100.0,40900.0,39700.0,41200.0,53800.0,35500.0,33200.0,22400.0,32400.0,38800.0
The Art Institute of Las Vegas,NV,0.0,545.0,1,3,17316.0,17316.0,40900.0,34100.0,34600.0,,,30300.0,27700.0,20400.0,28600.0,32300.0
University of Nevada-Las Vegas,NV,0.0,24707.0,1,1,7985.0,23132.0,51900.0,46700.0,37800.0,47500.0,57200.0,37600.0,34700.0,27800.0,35100.0,40900.0
Hastings College,NE,0.0,962.0,1,2,30050.0,30050.0,45900.0,44400.0,28600.0,41900.0,49800.0,33800.0,33200.0,17800.0,31700.0,35300.0
University of New Hampshire at Manchester,NH,0.0,703.0,1,1,15265.0,30635.0,52900.0,48400.0,34300.0,48100.0,59400.0,39700.0,37900.0,21400.0,37600.0,42200.0
Western Nevada College,NV,0.0,2310.0,1,1,3158.0,10071.0,36300.0,34100.0,25500.0,32700.0,44800.0,30600.0,27400.0,21900.0,29800.0,32600.0
San Diego Miramar College,CA,0.0,13420.0,2,1,1144.0,7024.0,42700.0,36800.0,31300.0,35500.0,51500.0,30600.0,26500.0,24200.0,26300.0,34800.0
Hope International University,CA,0.0,743.0,1,2,33400.0,33400.0,43200.0,38500.0,29300.0,37200.0,52200.0,31000.0,28600.0,19800.0,29800.0,33000.0
University of Redlands,CA,0.0,2945.0,1,2,49504.0,49504.0,64700.0,60900.0,44000.0,60200.0,70700.0,42200.0,38100.0,28900.0,39000.0,46900.0
College of the Redwoods,CA,0.0,3971.0,2,1,1182.0,6822.0,31800.0,27200.0,26300.0,28600.0,36300.0,23700.0,19300.0,21300.0,21900.0,25700.0
San Francisco State University,CA,0.0,25799.0,1,1,7260.0,19140.0,54800.0,50600.0,37300.0,52900.0,57500.0,38200.0,34300.0,30300.0,37500.0,39300.0
Sierra College,CA,0.0,16171.0,2,1,1144.0,6214.0,38600.0,33500.0,30600.0,33100.0,47600.0,27300.0,22300.0,23900.0,25100.0,30600.0
Riverside City College,CA,0.0,19022.0,2,1,1420.0,9160.0,37500.0,31800.0,30800.0,34400.0,44000.0,27400.0,23000.0,21500.0,25200.0,31100.0
Simpson University,CA,0.0,667.0,1,2,30200.0,30200.0,39700.0,38900.0,26100.0,35500.0,47700.0,31900.0,26500.0,26200.0,30900.0,33800.0
College of the Siskiyous,CA,0.0,1398.0,2,1,1156.0,7348.0,32700.0,28000.0,33600.0,28000.0,38000.0,22900.0,18700.0,20100.0,20800.0,24800.0
United Education Institute-Huntington Park Campus,CA,0.0,810.0,3,3,,,30700.0,27900.0,22700.0,27300.0,38600.0,21800.0,20200.0,15300.0,20700.0,25100.0
Westmont College,CA,0.0,1266.0,1,2,45304.0,45304.0,56200.0,49600.0,45000.0,50300.0,66000.0,35300.0,29900.0,27000.0,30600.0,42200.0
University of Colorado Boulder,CO,0.0,29753.0,1,1,12532.0,37286.0,58700.0,51300.0,51600.0,52000.0,65000.0,38700.0,34600.0,32400.0,34700.0,42200.0
Concorde Career College-North Hollywood,CA,0.0,617.0,2,3,,,47800.0,41100.0,36900.0,42200.0,65000.0,37200.0,31700.0,26100.0,32500.0,47600.0
Walden University,MN,1.0,6910.0,1,3,12120.0,12120.0,,,,,,55300.0,48800.0,38100.0,49700.0,65200.0
Vanguard University of Southern California,CA,0.0,1842.0,1,2,33720.0,33720.0,47000.0,42600.0,36100.0,42700.0,53100.0,36600.0,31200.0,45000.0,32600.0,43400.0
Aims Community College,CO,0.0,3834.0,2,1,1835.0,10424.0,34600.0,31800.0,24600.0,28700.0,43700.0,29500.0,27400.0,20200.0,24800.0,35100.0
West Los Angeles College,CA,0.0,10507.0,1,1,1220.0,7746.0,39600.0,33000.0,46500.0,38400.0,42300.0,28700.0,24600.0,24200.0,28300.0,29300.0
Colorado School of Trades,CO,0.0,135.0,2,3,,,32800.0,29000.0,25000.0,,,31100.0,28000.0,23300.0,,
University of Southern California,CA,0.0,19548.0,1,2,56225.0,56225.0,75200.0,65800.0,63400.0,70400.0,80600.0,62900.0,53700.0,61100.0,57700.0,69300.0
Colorado Technical University-Colorado Springs,CO,0.0,22243.0,1,3,11960.0,11960.0,49000.0,43200.0,31800.0,39300.0,56200.0,35400.0,28800.0,31100.0,28200.0,45500.0
Lincoln College of Technology-Denver,CO,0.0,1303.0,2,3,,,40900.0,39800.0,25800.0,,,30400.0,28100.0,21100.0,19400.0,31000.0
Branford Hall Career Institute-Branford Campus,CT,0.0,117.0,3,3,,,36500.0,34500.0,26500.0,35100.0,43100.0,24600.0,23600.0,16600.0,23500.0,28800.0
Pueblo Community College,CO,0.0,3757.0,1,1,5179.0,16262.0,32800.0,28600.0,23700.0,30200.0,38200.0,26100.0,22600.0,20000.0,23700.0,29400.0
University of Bridgeport,CT,0.0,3415.0,1,2,33055.0,33055.0,52500.0,47400.0,43600.0,50600.0,56600.0,34700.0,31800.0,23500.0,35100.0,33800.0
Central Connecticut State University,CT,0.0,9325.0,1,1,10616.0,23124.0,50400.0,46400.0,38500.0,44200.0,57000.0,36500.0,35400.0,21900.0,33300.0,39300.0
Mitchell College,CT,0.0,588.0,1,2,33200.0,33200.0,36500.0,35300.0,22800.0,33500.0,38900.0,24700.0,23500.0,17700.0,23900.0,25500.0
Pickens Technical College,CO,0.0,1202.0,2,1,4510.0,7990.0,29100.0,26300.0,24500.0,,,26100.0,22600.0,19000.0,27100.0,24700.0
Goodwin College,CT,0.0,3157.0,1,2,20898.0,20898.0,28300.0,24800.0,30000.0,25300.0,39900.0,36600.0,32400.0,23900.0,36000.0,39200.0
Norwalk Community College,CT,0.0,4400.0,2,1,4414.0,13182.0,42300.0,38100.0,27600.0,40700.0,44800.0,29700.0,25800.0,21300.0,29600.0,30000.0
University of Northern Colorado,CO,0.0,8903.0,1,1,9918.0,21786.0,44700.0,42000.0,28300.0,39200.0,52200.0,33300.0,31700.0,18900.0,32200.0,34800.0
Hartford Seminary,CT,0.0,,1,2,,,,,,,,,,,,
Altierus Career College-Thornton,CO,0.0,7.0,2,2,,,32200.0,30000.0,24900.0,30000.0,39400.0,22300.0,20200.0,17200.0,21400.0,25000.0
Holy Apostles College and Seminary,CT,0.0,137.0,1,2,7870.0,7870.0,,,,,,,,,,
Wesleyan University,CT,0.0,2922.0,1,2,54944.0,54944.0,72200.0,54100.0,84000.0,62300.0,82700.0,38500.0,35100.0,29700.0,35100.0,42100.0
Porter and Chester Institute of Stratford,CT,0.0,1982.0,3,3,17220.0,17220.0,41400.0,39100.0,25800.0,31900.0,46500.0,32000.0,30800.0,20500.0,25100.0,34000.0
College of Central Florida,FL,0.0,5711.0,1,1,2570.0,10126.0,34500.0,31600.0,23900.0,32700.0,39000.0,25800.0,23500.0,18100.0,25300.0,26900.0
Yale University,CT,0.0,5963.0,1,2,53430.0,53430.0,102400.0,65600.0,116800.0,88100.0,117600.0,75500.0,60100.0,72900.0,70300.0,81200.0
Quinebaug Valley Community College,CT,0.0,1236.0,2,1,4414.0,13152.0,31700.0,29300.0,23500.0,29500.0,38200.0,24000.0,22800.0,16300.0,22200.0,28300.0
Chipola College,FL,0.0,1496.0,1,1,3120.0,8950.0,31000.0,28000.0,20400.0,30100.0,33100.0,25200.0,22900.0,17300.0,24500.0,26700.0
University of Saint Joseph,CT,0.0,865.0,1,2,38173.0,38173.0,52600.0,50900.0,29600.0,,,42200.0,39500.0,23400.0,,
Atlantic Technical College,FL,0.0,3626.0,2,1,,,31100.0,28900.0,18100.0,,,26800.0,24000.0,18700.0,28500.0,23400.0
Barry University,FL,0.0,3368.0,1,2,30014.0,30014.0,57900.0,50200.0,36900.0,53300.0,69200.0,43100.0,38800.0,37200.0,40100.0,50300.0
Lynn University,FL,0.0,2194.0,1,2,38210.0,38210.0,45200.0,40300.0,33100.0,44400.0,46300.0,35500.0,31100.0,32500.0,33200.0,38400.0
Margaret H Rollins School of Nursing at Beebe Medical Center,DE,0.0,65.0,2,2,,,,,,,,,,,,
United States Coast Guard Academy,CT,0.0,1071.0,1,1,,,,,,,,,,,,
Delaware Technical Community College-Terry,DE,0.0,12152.0,1,1,4904.0,11632.0,33400.0,32200.0,21800.0,30800.0,41400.0,27900.0,24300.0,19900.0,28300.0,26800.0
Delaware State University,DE,0.0,3835.0,1,1,7868.0,16904.0,39000.0,37900.0,22900.0,37800.0,40400.0,28200.0,25900.0,18700.0,28300.0,28200.0
Flagler College-St Augustine,FL,0.0,2589.0,1,2,18950.0,18950.0,45800.0,41900.0,30700.0,42000.0,52100.0,32500.0,31500.0,20100.0,30800.0,35400.0
Schilling-Douglas School of Hair Design LLC,DE,0.0,123.0,3,3,,,24100.0,20500.0,18300.0,,,21300.0,17300.0,15600.0,,
Manatee Technical College,FL,0.0,1132.0,2,1,,,33200.0,31600.0,22900.0,,,29900.0,24000.0,56100.0,28900.0,31600.0
Concorde Career Institute-Miramar,FL,0.0,559.0,2,3,,,29400.0,28700.0,17300.0,,,20400.0,19300.0,13300.0,20200.0,22400.0
Cortiva Institute-Florida,FL,0.0,173.0,3,3,,,31500.0,27300.0,22700.0,30200.0,34600.0,24500.0,22700.0,16300.0,,
Miami Lakes Educational Center and Technical College,FL,0.0,623.0,2,1,,,34000.0,29800.0,25200.0,33000.0,35200.0,27500.0,23200.0,19100.0,27500.0,27600.0
International Academy,FL,0.0,132.0,3,3,,,21700.0,19900.0,13700.0,,,16700.0,15000.0,12600.0,,
AI Miami International University of Art and Design,FL,0.0,1290.0,1,3,17604.0,17604.0,38500.0,33300.0,30600.0,36900.0,39800.0,26300.0,23400.0,19700.0,26900.0,25500.0
Florida International University,FL,0.0,41777.0,1,1,6556.0,18954.0,53400.0,48200.0,37600.0,48100.0,61000.0,37300.0,34800.0,26800.0,36200.0,38900.0
Pinellas Technical College-Clearwater,FL,0.0,520.0,3,1,,,30500.0,27700.0,21300.0,30300.0,31000.0,23400.0,20500.0,17100.0,26100.0,21400.0
Beauty Schools of America-Miami,FL,0.0,201.0,3,3,,,18500.0,15500.0,13800.0,,,16200.0,13400.0,11900.0,16000.0,18100.0
Keiser University-Ft Lauderdale,FL,0.0,17813.0,1,2,20208.0,20208.0,36900.0,32800.0,27600.0,32600.0,43000.0,30500.0,27100.0,21300.0,28700.0,35000.0
Florida Career College-Miami,FL,0.0,444.0,2,3,,,36900.0,35900.0,25800.0,32100.0,38900.0,20200.0,18600.0,13500.0,19300.0,21900.0
Saint Vincent de Paul Regional Seminary,FL,0.0,,1,2,,,,,,,,,,,,
Florida State University,FL,0.0,32072.0,1,1,5656.0,18786.0,53200.0,47300.0,39500.0,48200.0,59200.0,37400.0,34400.0,33200.0,35000.0,40500.0
Full Sail University,FL,0.0,18545.0,1,3,24109.0,24109.0,44800.0,38600.0,52100.0,39600.0,45400.0,30900.0,26800.0,23700.0,26800.0,31500.0
State College of Florida-Manatee-Sarasota,FL,0.0,8203.0,1,1,3074.0,11606.0,37500.0,33900.0,29400.0,35100.0,42000.0,27200.0,24300.0,18700.0,26900.0,27600.0
George T Baker Aviation Technical College,FL,0.0,795.0,2,1,,,40500.0,36900.0,25100.0,,,37400.0,34300.0,25300.0,,
Talmudic College of Florida,FL,0.0,21.0,1,2,13250.0,13250.0,,,,,,,,,,
Berry College,GA,0.0,1913.0,1,2,36556.0,36556.0,45100.0,43600.0,27000.0,41300.0,50800.0,29600.0,29000.0,17100.0,28300.0,32300.0
Altierus Career College-Tampa,FL,0.0,222.0,2,2,14650.0,14650.0,34100.0,30900.0,24800.0,31000.0,39300.0,22700.0,19000.0,18500.0,20800.0,28600.0
The University of Tampa,FL,0.0,8422.0,1,2,29208.0,29208.0,50600.0,45000.0,38200.0,48400.0,54000.0,37800.0,36100.0,22200.0,37000.0,39100.0
Brown College of Court Reporting,GA,0.0,181.0,2,3,12945.0,12945.0,33900.0,31500.0,20700.0,,,31300.0,29700.0,21600.0,,
Columbus Technical College,GA,0.0,2754.0,2,1,2778.0,4914.0,28400.0,26700.0,18600.0,24800.0,33900.0,24900.0,22400.0,17400.0,23300.0,28500.0
