School,State,Online only?,School size (students),2yr/4yr,Pubic or Private,Tuition (in state),Tuition (out of state),Earnings after 10 years - mean,Earnings after 10 years - median,Earnings after 10 years - std,Earnings after 10 years - mean - female,Earnings after 10 years - mean - male,Earnings after 6 years - mean,Earnings after 6 years - median,Earnings after 6 years - std,Earnings after 6 years - mean - female,Earnings after 6 years - mean - male
HSHS St. John's Hospital School of Clinical Laboratory Science,IL,0.0,6.0,3,2,,,,,,,,,,,,
Metro Technology Centers,OK,0.0,1225.0,2,1,,,36500.0,29900.0,26600.0,,,37300.0,39000.0,21100.0,29500.0,44000.0
Madison Media Institute,WI,0.0,11.0,2,3,14708.0,14708.0,31600.0,30100.0,19000.0,,,24900.0,23200.0,14800.0,,
Educators of Beauty College of Cosmetology-Rockford,IL,0.0,67.0,3,3,,,19900.0,17000.0,14000.0,,,17500.0,15400.0,11300.0,,
Great Plains Technology Center,OK,0.0,172.0,2,1,,,30600.0,26900.0,20100.0,,,29000.0,27200.0,18200.0,27900.0,31100.0
Roane-Jackson Technical Center,WV,0.0,37.0,2,1,,,,,,,,,,,,
California Career School,CA,0.0,79.0,3,3,,,,,,,,,,,,
Ross Medical Education Center-Ann Arbor,MI,0.0,73.0,3,3,,,22600.0,21600.0,15600.0,,,20900.0,21800.0,12000.0,,
Raphael's School of Beauty Culture Inc-Brunswick,OH,0.0,121.0,2,3,,,,,,,,17500.0,15800.0,12400.0,,
Elizabeth Grady School of Esthetics and Massage Therapy,MA,0.0,221.0,3,3,,,26500.0,23000.0,21100.0,,,31800.0,24900.0,25600.0,,
Chandler-Gilbert Community College,AZ,0.0,8493.0,2,1,2070.0,7854.0,44100.0,41300.0,28900.0,36200.0,53000.0,34800.0,31000.0,23900.0,31400.0,39100.0
New York Academy of Art,NY,0.0,,1,2,,,,,,,,,,,,
Ogeechee Technical College,GA,0.0,1682.0,2,1,2876.0,5012.0,25300.0,23000.0,19300.0,21400.0,37300.0,23100.0,20700.0,16900.0,21400.0,28500.0
Ross Medical Education Center-Taylor,MI,0.0,77.0,3,3,,,23300.0,23600.0,15300.0,,,19300.0,18000.0,12300.0,,
Cloyd's Barber School 2 Inc,LA,0.0,26.0,3,3,,,,,,,,,,,,
Southwest Acupuncture College-Santa Fe,NM,0.0,,1,3,,,,,,,,,,,,
Pennsylvania College of Technology,PA,0.0,5289.0,1,1,16740.0,23880.0,41700.0,38800.0,25400.0,33700.0,45900.0,37500.0,34800.0,22700.0,32500.0,39900.0
Mercer County Career Center,PA,0.0,16.0,3,1,,,29700.0,30300.0,14900.0,,,29700.0,30800.0,13500.0,,
Modern Technology School,CA,0.0,129.0,2,3,,,40400.0,36000.0,28100.0,36700.0,48300.0,40900.0,36700.0,27100.0,39300.0,43400.0
Nossi College of Art,TN,0.0,303.0,1,3,17800.0,17800.0,27700.0,26500.0,17500.0,,,22900.0,20500.0,15400.0,20100.0,25900.0
Brewster Technical College,FL,0.0,205.0,2,1,,,24900.0,21300.0,19700.0,,,20300.0,16400.0,15400.0,,
Worsham College of Mortuary Science,IL,0.0,95.0,2,3,,,55500.0,54700.0,28800.0,,,34200.0,35800.0,20300.0,,
Capital Area School of Practical Nursing,IL,0.0,123.0,3,1,,,33000.0,32400.0,17300.0,,,35600.0,36100.0,16300.0,,
Sebring Career Schools-Houston,TX,0.0,115.0,3,3,,,20600.0,16100.0,17300.0,,,17900.0,13900.0,13700.0,,
Thanh Le College School of Cosmetology,CA,0.0,44.0,3,3,,,,,,,,12900.0,11000.0,10800.0,,
Bryant & Stratton College-Solon,OH,0.0,182.0,1,3,18041.0,18041.0,30100.0,28300.0,21000.0,28100.0,35300.0,23000.0,20500.0,20600.0,22500.0,24500.0
Fortis College,AL,0.0,322.0,3,3,,,21600.0,20500.0,14300.0,,,17200.0,16300.0,11200.0,,
Academy of Cosmetology,FL,0.0,119.0,3,3,,,20700.0,19000.0,14300.0,,,16200.0,12400.0,12600.0,,
New England Hair Academy,MA,0.0,149.0,3,3,,,24600.0,18300.0,28700.0,21700.0,31700.0,18700.0,15700.0,19500.0,,
U S Grant Joint Vocational School,OH,0.0,22.0,3,1,,,,,,,,,,,,
Sunstate Academy,FL,0.0,312.0,3,2,,,,,,,,19000.0,17100.0,13100.0,,
Monmouth County Vocational School District,NJ,0.0,54.0,3,1,,,38900.0,35800.0,26500.0,,,,,,,
Remington College-Honolulu Campus,HI,0.0,131.0,1,2,16684.0,16684.0,,,,,,18200.0,16300.0,12700.0,17300.0,22400.0
Bryant & Stratton College-Southtowns,NY,0.0,185.0,1,3,17451.0,17451.0,30100.0,28300.0,21000.0,28100.0,35300.0,23000.0,20500.0,20600.0,22500.0,24500.0
Ross College-Quad Cities,IA,0.0,76.0,2,3,,,24400.0,23500.0,16600.0,23400.0,32300.0,30300.0,27700.0,20400.0,28600.0,32300.0
Virginia Beach City Public Schools School of Practical Nursing,VA,0.0,33.0,3,1,,,,,,,,,,,,
Center for Advanced Legal Studies,TX,0.0,211.0,2,3,,,37800.0,34200.0,27700.0,38500.0,35800.0,40300.0,36900.0,25800.0,,
