,School,sat_scores.25th_percentile.critical_reading,sat_scores.midpoint.critical_reading,sat_scores.75th_percentile.critical_reading,sat_scores.25th_percentile.math,sat_scores.midpoint.math,sat_scores.75th_percentile.math
126,Aims Community College,,,,,,
127,West Los Angeles College,,,,,,
128,Colorado School of Trades,,,,,,
129,University of Southern California,660.0,700.0,740.0,690.0,740.0,790.0
130,Colorado Technical University-Colorado Springs,,,,,,
131,Lincoln College of Technology-Denver,,,,,,
132,Branford Hall Career Institute-Branford Campus,,,,,,
133,Pueblo Community College,,,,,,
134,University of Bridgeport,460.0,505.0,550.0,440.0,490.0,540.0
135,Central Connecticut State University,500.0,545.0,590.0,480.0,530.0,580.0
136,Mitchell College,,,,,,
137,Pickens Technical College,,,,,,
138,Goodwin College,,,,,,
139,Norwalk Community College,,,,,,
140,University of Northern Colorado,500.0,555.0,610.0,490.0,535.0,580.0
141,Hartford Seminary,,,,,,
142,Altierus Career College-Thornton,,,,,,
143,Holy Apostles College and Seminary,,,,,,
144,Wesleyan University,,,,,,
145,Porter and Chester Institute of Stratford,,,,,,
146,College of Central Florida,,,,,,
147,Yale University,720.0,745.0,770.0,740.0,770.0,800.0
148,Quinebaug Valley Community College,,,,,,
149,Chipola College,,,,,,
150,University of Saint Joseph,520.0,570.0,620.0,510.0,550.0,590.0
151,Atlantic Technical College,,,,,,
152,Barry University,480.0,520.0,560.0,430.0,475.0,520.0
153,Lynn University,500.0,545.0,590.0,490.0,535.0,580.0
154,Margaret H Rollins School of Nursing at Beebe Medical Center,,,,,,
155,United States Coast Guard Academy,615.0,658.0,700.0,630.0,675.0,720.0
156,Delaware Technical Community College-Terry,,,,,,
157,Delaware State University,440.0,480.0,520.0,400.0,445.0,490.0
158,Flagler College-St Augustine,530.0,580.0,630.0,500.0,545.0,590.0
159,Schilling-Douglas School of Hair Design LLC,,,,,,
160,Manatee Technical College,,,,,,
161,Concorde Career Institute-Miramar,,,,,,
162,Cortiva Institute-Florida,,,,,,
163,Miami Lakes Educational Center and Technical College,,,,,,
164,International Academy,,,,,,
165,AI Miami International University of Art and Design,,,,,,
166,Florida International University,560.0,600.0,640.0,530.0,575.0,620.0
167,Pinellas Technical College-Clearwater,,,,,,
168,Beauty Schools of America-Miami,,,,,,
169,Keiser University-Ft Lauderdale,,,,,,
170,Florida Career College-Miami,,,,,,
171,Saint Vincent de Paul Regional Seminary,,,,,,
172,Florida State University,610.0,645.0,680.0,590.0,630.0,670.0
173,Full Sail University,,,,,,
174,State College of Florida-Manatee-Sarasota,,,,,,
175,George T Baker Aviation Technical College,,,,,,
176,Talmudic College of Florida,,,,,,
177,Berry College,570.0,615.0,660.0,540.0,595.0,650.0
178,Altierus Career College-Tampa,,,,,,
179,The University of Tampa,550.0,590.0,630.0,540.0,580.0,620.0
180,Brown College of Court Reporting,,,,,,
181,Columbus Technical College,,,,,,
182,Georgia Northwestern Technical College,,,,,,
183,University of South Florida-Main Campus,590.0,625.0,660.0,580.0,625.0,670.0
184,Atlanta Metropolitan State College,,,,,,
185,The University of West Florida,550.0,595.0,640.0,530.0,570.0,610.0
186,Bene's Career Academy,,,,,,
187,University of Hawaii at Manoa,530.0,575.0,620.0,520.0,570.0,620.0
188,Hawaii Pacific University,520.0,570.0,620.0,500.0,550.0,600.0
189,Mercer University,600.0,635.0,670.0,580.0,625.0,670.0
190,Georgia Southern University,540.0,575.0,610.0,520.0,555.0,590.0
191,Leeward Community College,,,,,,
192,Thomas University,,,,,,
193,University of Hawaii-West Oahu,470.0,515.0,560.0,460.0,505.0,550.0
194,Valdosta State University,510.0,550.0,590.0,490.0,520.0,550.0
195,University of West Georgia,490.0,530.0,570.0,430.0,470.0,510.0
196,Eastwick College-Nutley,,,,,,
197,Robert Fiance Beauty Schools-West New York,,,,,,
198,Lincoln Technical Institute-South Plainfield,,,,,,
199,Essex County College,,,,,,
200,Barnard College,670.0,705.0,740.0,660.0,710.0,760.0
201,New Mexico Institute of Mining and Technology,590.0,640.0,690.0,620.0,665.0,710.0
202,Western New Mexico University,,,,,,
203,Brittany Beauty Academy,,,,,,
204,Hocking College,,,,,,
205,James A Rhodes State College,,,,,,
206,Lorain County Community College,,,,,,
207,North Central State College,,,,,,
208,Ohio University-Eastern Campus,,,,,,
209,Notre Dame College,440.0,485.0,530.0,420.0,475.0,530.0
210,Tiffin University,,,,,,
211,Ohio University-Lancaster Campus,,,,,,
212,Tri-County Adult Career Center,,,,,,
213,Ohio Technical College,,,,,,
214,Ohio Northern University,550.0,590.0,630.0,540.0,600.0,660.0
215,Ohio State University Agricultural Technical Institute,,,,,,
216,Owens Community College,,,,,,
217,Ohio State University-Newark Campus,,,,,,
218,University of Oklahoma-Health Sciences Center,,,,,,
219,Southwestern Oklahoma State University,,,,,,
220,Tulsa Community College,,,,,,
221,New Hope Christian College-Eugene,,,,,,
222,Oregon State University,540.0,595.0,650.0,540.0,600.0,660.0
