,School,sat_scores.25th_percentile.critical_reading,sat_scores.midpoint.critical_reading,sat_scores.75th_percentile.critical_reading,sat_scores.25th_percentile.math,sat_scores.midpoint.math,sat_scores.75th_percentile.math
1802,J F Ingram State Technical College,,,,,,
1803,Myotherapy Institute,,,,,,
1804,Gwinnett College,,,,,,
1805,Sanford Medical Center,,,,,,
1806,Faith Theological Seminary,,,,,,
1807,New York Theological Seminary,,,,,,
1808,Instituto Tecnologico de Puerto Rico-Recinto de Ponce,,,,,,
1809,Pacific College,,,,,,
1810,American College of Acupuncture and Oriental Med,,,,,,
1811,Anson College of Cosmetology,,,,,,
1812,Cortiva Institute-Baltimore,,,,,,
1813,Northwest HVAC/R Training Center,,,,,,
1814,Okaloosa Technical College,,,,,,
1815,Blessing Hospital School of Medical Laboratory Technology,,,,,,
1816,Pinellas Technical College-St. Petersburg,,,,,,
1817,Massachusetts School of Law,,,,,,
1818,University of the Potomac-Washington DC Campus,,,,,,
1819,Mid Cities Barber College,,,,,,
1820,JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Imaging,,,,,,
1821,Mesalands Community College,,,,,,
1822,Ashland County-West Holmes Career Center,,,,,,
1823,Colby-Sawyer College,,,,,,
1824,Western Nebraska Community College,,,,,,
1825,Empire Beauty School-Laconia,,,,,,
1826,Nebraska Methodist College of Nursing & Allied Health,,,,,,
1827,River Valley Community College,,,,,,
1828,Nashua Community College,,,,,,
1829,Rivier University,,,,,,
1830,Branford Hall Career Institute-Parsippany,,,,,,
1831,Granite State College,,,,,,
1832,Rowan College of South Jersey Gloucester Campus,,,,,,
1833,Central Susquehanna Intermediate Unit LPN Career,,,,,,
1834,Messenger College,,,,,,
1835,Career and Technology Education Centers of Licking County,,,,,,
1836,Premiere Career College,,,,,,
1837,Clinton Essex Warren Washington BOCES,,,,,,
1838,Paul Mitchell the School-Huntsville,,,,,,
1839,Estes Institute of Cosmetology Arts and Science,,,,,,
1840,Kirksville Area Technical Center,,,,,,
1841,Jefferson County Dubois Area Vocational Technical Practical Nursing Program,,,,,,
1842,Central College of Cosmetology,,,,,,
1843,Escuela de Peritos Electricistas de Isabela Inc,,,,,,
1844,Oregon Coast Community College,,,,,,
1845,John Wesley International Barber and Beauty College,,,,,,
1846,Cadillac Institute of Cosmetology,,,,,,
1847,Arizona College-Glendale,,,,,,
1848,Klamath Community College,,,,,,
1849,Missouri State University-West Plains,,,,,,
1850,Joe Kubert School of Cartoon and Graphic Art,,,,,,
1851,Passaic County Community College,,,,,,
1852,Princeton University,710.0,740.0,770.0,730.0,765.0,800.0
1853,Ramapo College of New Jersey,530.0,575.0,620.0,520.0,570.0,620.0
1854,Robert Fiance Beauty Schools,,,,,,
1855,Beth Medrash Govoha,,,,,,
1856,Rutgers University-Camden,500.0,545.0,590.0,500.0,545.0,590.0
1857,Rowan College at Burlington County,,,,,,
1858,Centenary University,440.0,495.0,550.0,430.0,485.0,540.0
1859,New Mexico State University-Alamogordo,,,,,,
1860,Alfred University,480.0,535.0,590.0,490.0,550.0,610.0
1861,New Mexico State University-Grants,,,,,,
1862,American Academy McAllister Institute of Funeral Service,,,,,,
1863,American Musical and Dramatic Academy,,,,,,
1864,Seton Hall University,580.0,615.0,650.0,570.0,615.0,660.0
1865,Santa Fe Community College,,,,,,
1866,New Mexico Highlands University,,,,,,
1867,Stevens Institute of Technology,640.0,675.0,710.0,690.0,730.0,770.0
1868,Southwestern College,,,,,,
1869,Beth Hatalmud Rabbinical College,,,,,,
1870,The College of New Jersey,580.0,625.0,670.0,580.0,630.0,680.0
1871,William Paterson University of New Jersey,450.0,500.0,550.0,440.0,490.0,540.0
1872,Bryant & Stratton College-Albany,,,,,,
1873,Weill Cornell Medical College,,,,,,
1874,Central Yeshiva Tomchei Tmimim Lubavitz,,,,,,
1875,Dominican College of Blauvelt,470.0,515.0,560.0,470.0,515.0,560.0
1876,Cincinnati State Technical and Community College,,,,,,
1877,Edison State Community College,,,,,,
1878,Medina County Career Center,,,,,,
1879,University of Cincinnati-Blue Ash College,,,,,,
1880,Miami University-Middletown,,,,,,
1881,Gerbers Akron Beauty School,,,,,,
1882,Kent State University at Stark,,,,,,
1883,Davis College,,,,,,
1884,Kent State University at Salem,,,,,,
1885,Kenyon College,640.0,685.0,730.0,640.0,690.0,740.0
1886,University of Mount Union,480.0,540.0,600.0,488.0,544.0,600.0
1887,Zane State College,,,,,,
1888,Raphael's School of Beauty Culture Inc-Niles,,,,,,
1889,Ohio State School of Cosmetology-Canal Winchester,,,,,,
1890,United Theological Seminary,,,,,,
1891,Oklahoma State University-Main Campus,540.0,590.0,640.0,520.0,580.0,640.0
1892,Tulsa Welding School-Tulsa,,,,,,
1893,Wittenberg University,,,,,,
1894,Western Oklahoma State College,,,,,,
1895,Oklahoma City University,550.0,605.0,660.0,540.0,580.0,620.0
1896,Xavier University,540.0,585.0,630.0,530.0,575.0,620.0
1897,Eves College of Hairstyling,,,,,,
1898,Youngstown State University,480.0,535.0,590.0,480.0,540.0,600.0
1899,Oral Roberts University,515.0,568.0,620.0,500.0,553.0,605.0
1900,Beauty Technical College Inc,,,,,,
1901,Clatsop Community College,,,,,,
1902,University of Science and Arts of Oklahoma,395.0,448.0,500.0,420.0,465.0,510.0
1903,Pontotoc Technology Center,,,,,,
1904,Concordia University-Portland,500.0,545.0,590.0,490.0,535.0,580.0
1905,George Fox University,520.0,575.0,630.0,500.0,550.0,600.0
1906,Pacific University,530.0,580.0,630.0,530.0,575.0,620.0
1907,University of Western States,,,,,,
1908,Linfield College-McMinnville Campus,510.0,560.0,610.0,510.0,550.0,590.0
1909,Community College of Allegheny County,,,,,,
1910,Altoona Beauty School Inc,,,,,,
1911,Reed College,670.0,710.0,750.0,640.0,705.0,770.0
1912,Arcadia University,540.0,590.0,640.0,510.0,560.0,610.0
1913,Bloomsburg University of Pennsylvania,500.0,540.0,580.0,490.0,530.0,570.0
1914,Southwestern Oregon Community College,,,,,,
1915,Cabrini University,,,,,,
1916,Grove City College,590.0,615.0,640.0,495.0,565.0,635.0
1917,Gwynedd Mercy University,480.0,520.0,560.0,460.0,505.0,550.0
1918,Empire Beauty  School-Lehigh Valley,,,,,,
1919,Harrisburg Area Community College,,,,,,
1920,Empire Beauty School-Wyoming Valley,,,,,,
1921,Cedar Crest College,480.0,540.0,600.0,460.0,515.0,570.0
1922,Empire Beauty School-Harrisburg,,,,,,
1923,Cheyney University of Pennsylvania,,,,,,
1924,East Stroudsburg University of Pennsylvania,460.0,515.0,570.0,450.0,500.0,550.0
1925,Citizens School of Nursing,,,,,,
1926,DLP Conemaugh Memorial Medical Center,,,,,,
1927,Pennsylvania State University-Penn State Scranton,480.0,530.0,580.0,490.0,530.0,570.0
1928,Lincoln University,440.0,475.0,510.0,420.0,465.0,510.0
1929,Muhlenberg College,590.0,635.0,680.0,580.0,630.0,680.0
1930,Lycoming College,510.0,555.0,600.0,500.0,549.0,598.0
1931,Neumann University,460.0,505.0,550.0,450.0,495.0,540.0
1932,La Roche University,470.0,515.0,560.0,440.0,495.0,550.0
1933,Orleans Technical College,,,,,,
1934,Lafayette College,620.0,660.0,700.0,630.0,683.0,735.0
1935,Roxborough Memorial Hospital School of Nursing,,,,,,
1936,Pennsylvania Institute of Technology,,,,,,
1937,Lancaster School of Cosmetology & Therapeutic Bodywork,,,,,,
1938,Lehigh Carbon Community College,,,,,,
1939,Levittown Beauty Academy,,,,,,
1940,Pennsylvania State University-Penn State Hazleton,460.0,520.0,580.0,470.0,515.0,560.0
1941,Pennsylvania State University-Penn State Mont Alto,480.0,535.0,590.0,490.0,540.0,590.0
1942,Pennsylvania State University-Penn State New Kensington,500.0,545.0,590.0,490.0,545.0,600.0
1943,Penn Commercial Business/Technical School,,,,,,
1944,Pennsylvania Gunsmith School,,,,,,
1945,University of Pennsylvania,690.0,725.0,760.0,730.0,760.0,790.0
1946,The University of the Arts,,,,,,
1947,University of Valley Forge,,,,,,
1948,Reformed Presbyterian Theological Seminary,,,,,,
1949,Slippery Rock University of Pennsylvania,510.0,550.0,590.0,500.0,540.0,580.0
1950,University of the Sciences,560.0,600.0,640.0,560.0,615.0,670.0
1951,Robert Morris University,520.0,560.0,600.0,510.0,555.0,600.0
1952,Rosedale Technical College,,,,,,
1953,St Lukes Hospital School of Nursing,,,,,,
1954,University of Pittsburgh-Greensburg,510.0,555.0,600.0,500.0,545.0,590.0
1955,Susquehanna University,,,,,,
1956,Saint Vincent College,520.0,575.0,630.0,510.0,555.0,600.0
1957,Pittsburgh Career Institute,,,,,,
1958,Westmoreland County Community College,,,,,,
1959,Fortis Institute-Erie,,,,,,
1960,Widener University,510.0,555.0,600.0,510.0,555.0,600.0
1961,Point Park University,500.0,560.0,620.0,480.0,525.0,570.0
1962,Roger Williams University,,,,,,
1963,Columbia International University,470.0,525.0,580.0,470.0,505.0,540.0
1964,St Joseph School of Nursing,,,,,,
1965,Aiken Technical College,,,,,,
1966,University of South Carolina Aiken,480.0,530.0,580.0,470.0,515.0,560.0
1967,Utah State University,530.0,590.0,650.0,520.0,580.0,640.0
1968,Riverside College of Health Careers,,,,,,
1969,Central School of Practical Nursing,,,,,,
1970,Sentara College of Health Sciences,,,,,,
1971,Christopher Newport University,570.0,610.0,650.0,540.0,585.0,630.0
1972,Bryant & Stratton College-Virginia Beach,,,,,,
1973,Bryant & Stratton College-Richmond,,,,,,
1974,Old Dominion University,500.0,555.0,610.0,490.0,540.0,590.0
1975,Emory & Henry College,500.0,550.0,600.0,480.0,520.0,560.0
1976,Renton Technical College,,,,,,
1977,Saint Martin's University,510.0,565.0,620.0,510.0,555.0,600.0
1978,Virginia Military Institute,560.0,610.0,660.0,540.0,595.0,650.0
1979,Virginia State University,430.0,470.0,510.0,410.0,455.0,500.0
1980,Seattle University,570.0,615.0,660.0,560.0,610.0,660.0
1981,BJ's Beauty & Barber College,,,,,,
1982,North Seattle College,,,,,,
1983,Olympic College,,,,,,
1984,Perry Technical Institute,,,,,,
1985,Peninsula College,,,,,,
1986,University of Puget Sound,,,,,,
1987,Centralia College,,,,,,
1988,Skagit Valley College,,,,,,
1989,Divers Institute of Technology,,,,,,
1990,Lakeshore Technical College,,,,,,
1991,Wheeling University,440.0,505.0,570.0,470.0,515.0,560.0
1992,Bluefield State College,460.0,505.0,550.0,460.0,515.0,570.0
1993,Cabell County Career Technology Center,,,,,,
1994,Milwaukee Area Technical College,,,,,,
1995,University of Charleston,463.0,516.0,568.0,443.0,509.0,575.0
1996,Milwaukee School of Engineering,578.0,624.0,670.0,610.0,655.0,700.0
1997,Moraine Park Technical College,,,,,,
1998,Davis & Elkins College,460.0,500.0,540.0,450.0,495.0,540.0
1999,Glenville State College,,,,,,
2000,University of Wisconsin-Eau Claire,,,,,,
2001,Northeast Wisconsin Technical College,,,,,,
2002,Guam Community College,,,,,,
2003,Ripon College,500.0,555.0,610.0,500.0,550.0,600.0
2004,University of Wisconsin-Oshkosh,,,,,,
2005,Educational Technical College-Recinto de Bayamon,,,,,,
2006,American University of Puerto Rico,,,,,,
2007,Antilles School of Technical Careers,,,,,,
2008,Instituto de Banca y Comercio Inc,,,,,,
2009,Pontifical Catholic University of Puerto Rico-Arecibo,,,,,,
2010,Wisconsin Indianhead Technical College,,,,,,
2011,Herzing University-Madison,,,,,,
2012,University of Wisconsin-Platteville,,,,,,
2013,Casper College,,,,,,
2014,Inter American University of Puerto Rico-Arecibo,,,,,,
2015,EDP University of Puerto Rico Inc-San Juan,,,,,,
2016,Inter American University of Puerto Rico-Ponce,,,,,,
2017,University of Puerto Rico-Ponce,,,,,,
2018,Universidad Central Del Caribe,,,,,,
2019,Ponce Paramedical College Inc,,,,,,
2020,Carrington College-Portland,,,,,,
2021,University of the Virgin Islands,,,,,,
2022,University of Puerto Rico-Arecibo,,,,,,
2023,University of Puerto Rico-Carolina,464.0,519.0,573.0,439.0,490.0,541.0
2024,Houston Graduate School of Theology,,,,,,
2025,Tennessee College of Applied Technology Nashville,,,,,,
2026,Moler-Pickens Beauty Academy,,,,,,
2027,Paul Mitchell the School-Houston,,,,,,
2028,South University-Columbia,,,,,,
2029,Beckfield College-Florence,,,,,,
2030,Bethel Seminary-San Diego,,,,,,
2031,HSHS St. John's Hospital School of Clinical Laboratory Science,,,,,,
2032,Metro Technology Centers,,,,,,
2033,Madison Media Institute,,,,,,
2034,Educators of Beauty College of Cosmetology-Rockford,,,,,,
2035,Great Plains Technology Center,,,,,,
2036,Roane-Jackson Technical Center,,,,,,
2037,California Career School,,,,,,
2038,Ross Medical Education Center-Ann Arbor,,,,,,
2039,Raphael's School of Beauty Culture Inc-Brunswick,,,,,,
2040,Elizabeth Grady School of Esthetics and Massage Therapy,,,,,,
2041,Chandler-Gilbert Community College,,,,,,
2042,New York Academy of Art,,,,,,
2043,Ogeechee Technical College,,,,,,
2044,Ross Medical Education Center-Taylor,,,,,,
2045,Cloyd's Barber School 2 Inc,,,,,,
2046,Southwest Acupuncture College-Santa Fe,,,,,,
2047,Pennsylvania College of Technology,,,,,,
2048,Mercer County Career Center,,,,,,
2049,Modern Technology School,,,,,,
2050,Nossi College of Art,,,,,,
2051,Brewster Technical College,,,,,,
2052,Worsham College of Mortuary Science,,,,,,
2053,Capital Area School of Practical Nursing,,,,,,
2054,Sebring Career Schools-Houston,,,,,,
2055,Thanh Le College School of Cosmetology,,,,,,
2056,Bryant & Stratton College-Solon,,,,,,
2057,Fortis College,,,,,,
2058,Academy of Cosmetology,,,,,,
2059,New England Hair Academy,,,,,,
2060,U S Grant Joint Vocational School,,,,,,
2061,Sunstate Academy,,,,,,
2062,Monmouth County Vocational School District,,,,,,
2063,Remington College-Honolulu Campus,,,,,,
2064,Bryant & Stratton College-Southtowns,,,,,,
2065,Ross College-Quad Cities,,,,,,
2066,Virginia Beach City Public Schools School of Practical Nursing,,,,,,
2067,Center for Advanced Legal Studies,,,,,,
2068,University of Washington-Bothell Campus,510.0,560.0,610.0,520.0,580.0,640.0
2069,Colegio Mayor de Tecnologia Inc,,,,,,
2070,Institucion Chaviano de Mayaguez,,,,,,
2071,School of Automotive Machinists & Technology,,,,,,
2072,Fond du Lac Tribal and Community College,,,,,,
2073,Nuvani Institute,,,,,,
2074,Central Coast College,,,,,,
2075,University of Phoenix-Utah,,,,,,
2076,College of the Marshall Islands,,,,,,
2077,Centura College-Norfolk,,,,,,
2078,CET-Coachella,,,,,,
2079,CET-Oxnard,,,,,,
2080,Star College of Cosmetology 2,,,,,,
2081,Mt. Diablo Adult Education-Mt. Diablo USD,,,,,,
2082,Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,,,,,,
2083,Empire Beauty School-Brooklyn,,,,,,
2084,Houston Training School-Gulfgate,,,,,,
2085,Polaris Career Center,,,,,,
2086,P&A Scholars Beauty School,,,,,,
2087,UEI College-Fresno,,,,,,
2088,Herzing University-Winter Park,,,,,,
2089,United Education Institute-Encino,,,,,,
2090,Cortiva Institute-Pompano,,,,,,
2091,New York School for Medical and Dental Assistants,,,,,,
2092,The Sage Colleges,,,,,,
2093,St Bernard's School of Theology and Ministry,,,,,,
2094,North Country Community College,,,,,,
2095,Roberts Wesleyan College,500.0,555.0,610.0,510.0,565.0,620.0
2096,Onondaga Community College,,,,,,
2097,Schenectady County Community College,,,,,,
2098,Sh'or Yoshuv Rabbinical College,,,,,,
2099,Sullivan County Community College,,,,,,
2100,SUNY College of Technology at Canton,450.0,495.0,540.0,450.0,495.0,540.0
2101,Utica College,,,,,,
2102,Tompkins Cortland Community College,,,,,,
2103,Touro College,,,,,,
2104,Forsyth Technical Community College,,,,,,
2105,William Peace University,460.0,495.0,530.0,460.0,505.0,550.0
2106,Guilford Technical Community College,,,,,,
2107,Mitchells Academy,,,,,,
2108,Haywood Community College,,,,,,
2109,Queens University of Charlotte,520.0,569.0,618.0,513.0,557.0,600.0
2110,Montreat College,460.0,520.0,580.0,460.0,510.0,560.0
2111,High Point University,550.0,590.0,630.0,540.0,580.0,620.0
2112,College of Wilmington,,,,,,
2113,Mid-Atlantic Christian University,405.0,472.0,538.0,423.0,466.0,508.0
2114,North Carolina A & T State University,480.0,520.0,560.0,470.0,510.0,550.0
2115,Rockingham Community College,,,,,,
2116,Saint Augustine's University,395.0,438.0,480.0,370.0,415.0,460.0
2117,Livingstone College,390.0,430.0,470.0,380.0,420.0,460.0
2118,Sampson Community College,,,,,,
2119,Martin Community College,,,,,,
2120,Davidson College,640.0,680.0,720.0,650.0,690.0,730.0
2121,Durham Technical Community College,,,,,,
2122,United Tribes Technical College,,,,,,
2123,St. Andrews University,385.0,490.0,595.0,395.0,478.0,560.0
2124,Southeastern Community College,,,,,,
2125,Bluffton University,430.0,490.0,550.0,440.0,495.0,550.0
2126,Air Force Institute of Technology-Graduate School of Engineering & Management,,,,,,
2127,Bowling Green State University-Main Campus,440.0,495.0,550.0,440.0,495.0,550.0
2128,University of Mary,540.0,591.0,642.0,507.0,569.0,630.0
2129,Dakota College at Bottineau,,,,,,
2130,Surry Community College,,,,,,
2131,Cedarville University,580.0,630.0,680.0,550.0,610.0,670.0
2132,Ashland University,500.0,555.0,610.0,475.0,548.0,620.0
2133,Williston State College,,,,,,
2134,Central School of Practical Nursing,,,,,,
2135,Aultman College of Nursing and Health Sciences,,,,,,
2136,Chatfield College,,,,,,
2137,Turtle Mountain Community College,,,,,,
2138,The Christ College of Nursing and Health Sciences,438.0,491.0,543.0,443.0,467.0,490.0
2139,Wayne Community College,,,,,,
2140,Western Piedmont Community College,,,,,,
2141,Wingate University,490.0,540.0,590.0,490.0,535.0,580.0
2142,Western Carolina University,520.0,565.0,610.0,510.0,555.0,600.0
2143,Lourdes University,470.0,525.0,580.0,470.0,515.0,560.0
2144,Defiance College,430.0,485.0,540.0,425.0,478.0,530.0
2145,Marion Technical College,,,,,,
2146,EHOVE Career Center,,,,,,
2147,Methodist Theological School in Ohio,,,,,,
2148,Hebrew Union College-Jewish Institute of Religion,,,,,,
2149,Kent State University at Ashtabula,,,,,,
2150,Kent State University at Trumbull,,,,,,
2151,Kent State University at Kent,520.0,570.0,620.0,510.0,550.0,590.0
2152,Kettering College,580.0,590.0,600.0,560.0,580.0,600.0
2153,Moler Hollywood Beauty Academy,,,,,,
2154,Mount Vernon Nazarene University,490.0,530.0,570.0,470.0,515.0,560.0
2155,Muskingum University,493.0,542.0,590.0,483.0,537.0,590.0
2156,Rabbinical College Telshe,,,,,,
2157,National Beauty College,,,,,,
2158,Stautzenberger College-Maumee,,,,,,
2159,Franciscan University of Steubenville,550.0,605.0,660.0,510.0,565.0,620.0
2160,Northern Institute of Cosmetology,,,,,,
2161,The Modern College of Design,,,,,,
2162,Oberlin College,650.0,695.0,740.0,630.0,690.0,750.0
2163,Tri-Rivers Career Center,,,,,,
2164,Stark State College,,,,,,
2165,Ohio Valley College of Technology,,,,,,
2166,Upper Valley Career Center,,,,,,
2167,Ohio State University-Lima Campus,,,,,,
2168,The North Coast College,,,,,,
2169,Cuyahoga Valley Career Center,,,,,,
2170,Ohio State Beauty Academy,,,,,,
2171,Pontifical College Josephinum,,,,,,
2172,Professional Skills Institute,,,,,,
2173,Cameron University,,,,,,
2174,Wilmington College,460.0,505.0,550.0,470.0,505.0,540.0
2175,Holy Family University,475.0,518.0,560.0,460.0,495.0,530.0
2176,Immaculata University,515.0,573.0,630.0,500.0,545.0,590.0
2177,Franklin and Marshall College,,,,,,
2178,Clarion University of Pennsylvania,480.0,525.0,570.0,470.0,515.0,560.0
2179,Great Lakes Institute of Technology,,,,,,
2180,Elizabethtown College,540.0,590.0,640.0,530.0,590.0,650.0
2181,Gettysburg College,,,,,,
2182,Montgomery County Community College,,,,,,
2183,Juniata College,,,,,,
2184,Moravian College,530.0,570.0,610.0,520.0,555.0,590.0
2185,United Lutheran Seminary,,,,,,
2186,King's College,,,,,,
2187,Pennsylvania State University-Penn State Berks,500.0,550.0,600.0,500.0,550.0,600.0
2188,Manor College,410.0,455.0,500.0,390.0,445.0,500.0
2189,Pennsylvania State University-Penn State Brandywine,480.0,540.0,600.0,480.0,535.0,590.0
2190,La Salle University,,,,,,
2191,Vet Tech Institute,,,,,,
2192,Salus University,,,,,,
2193,Mercyhurst University,,,,,,
2194,United States Sports Academy,,,,,,
2195,University of Alaska Southeast,,,,,,
2196,Charter College,,,,,,
2197,CollegeAmerica-Flagstaff,,,,,,
2198,Pima Community College,,,,,,
2199,University of Arkansas at Pine Bluff,450.0,490.0,530.0,440.0,475.0,510.0
2200,Northwest Technical Institute,,,,,,
2201,Imagine-Paul Mitchell Partner School,,,,,,
2202,Ouachita Baptist University,520.0,575.0,630.0,520.0,570.0,620.0
2203,University of Arkansas-Fort Smith,,,,,,
2204,Azusa Pacific University,520.0,570.0,620.0,500.0,560.0,620.0
2205,University of the Ozarks,,,,,,
2206,The Academy of Radio and TV Broadcasting,,,,,,
2207,University of Arkansas Community College-Morrilton,,,,,,
2208,Professional Cosmetology Education Center,,,,,,
2209,CET-Watsonville,,,,,,
2210,Alliant International University-San Diego,,,,,,
2211,Western University of Health Sciences,,,,,,
2212,Sofia University,,,,,,
2213,California State University-Stanislaus,,,,,,
2214,California Beauty School,,,,,,
2215,California Christian College,,,,,,
2216,Chapman University,600.0,640.0,680.0,590.0,640.0,690.0
2217,Cuyamaca College,,,,,,
2218,Casa Loma College-Van Nuys,,,,,,
2219,California State University-Los Angeles,450.0,495.0,540.0,440.0,490.0,540.0
2220,Milan Institute-Visalia,,,,,,
2221,California State University-Northridge,470.0,520.0,570.0,460.0,510.0,560.0
2222,University of California-Berkeley,650.0,695.0,740.0,670.0,730.0,790.0
2223,University of California-Los Angeles,650.0,695.0,740.0,640.0,710.0,780.0
2224,Holy Names University,270.0,300.0,330.0,443.0,492.0,540.0
2225,Humboldt State University,490.0,545.0,600.0,480.0,525.0,570.0
2226,Design Institute of San Diego,,,,,,
2227,FIDM-Fashion Institute of Design & Merchandising-Orange County,,,,,,
2228,Dominican University of California,515.0,563.0,610.0,520.0,560.0,600.0
2229,John F. Kennedy University,,,,,,
2230,Hilltop Beauty School,,,,,,
2231,Reedley College,,,,,,
2232,Gavilan College,,,,,,
2233,Laguna College of Art and Design,,,,,,
2234,Lake Tahoe Community College,,,,,,
2235,Lancaster Beauty School,,,,,,
2236,Merced College,,,,,,
2237,Merritt College,,,,,,
2238,Mills College,513.0,577.0,640.0,495.0,548.0,600.0
2239,Long Beach City College,,,,,,
2240,Newberry School of Beauty,,,,,,
2241,Middlebury Institute of International Studies at Monterey,,,,,,
2242,Saddleback College,,,,,,
2243,Platt College-San Diego,,,,,,
2244,Orange Coast College,,,,,,
2245,Santa Barbara Business College-Santa Maria,,,,,,
2246,San Diego Mesa College,,,,,,
2247,Palo Alto University,,,,,,
2248,Pardee RAND Graduate School,,,,,,
2249,Saybrook University,,,,,,
2250,Pacific Oaks College,,,,,,
2251,Scripps College,660.0,700.0,740.0,640.0,690.0,740.0
2252,Pacific Union College,490.0,545.0,600.0,460.0,525.0,590.0
2253,Salon Success Academy-Corona,,,,,,
2254,University of San Francisco,570.0,615.0,660.0,560.0,615.0,670.0
2255,San Joaquin Delta College,,,,,,
2256,San Joaquin Valley College-Visalia,,,,,,
2257,University of Colorado Denver/Anschutz Medical Campus,510.0,560.0,610.0,510.0,555.0,600.0
2258,Carrington College-Sacramento,,,,,,
2259,Westminster Theological Seminary in California,,,,,,
2260,Spartan College of Aeronautics and Technology,,,,,,
2261,The Wright Institute,,,,,,
2262,Ventura College,,,,,,
2263,Colorado College,,,,,,
2264,Sonoma State University,490.0,540.0,590.0,490.0,535.0,580.0
2265,South Coast College,,,,,,
2266,Adams State University,440.0,495.0,550.0,430.0,480.0,530.0
2267,Colorado Northwestern Community College,,,,,,
2268,Kansas City Kansas Community College,,,,,,
2269,Seward County Community College,,,,,,
2270,Kentucky State University,420.0,460.0,500.0,400.0,452.0,503.0
2271,University of Kentucky,550.0,600.0,650.0,530.0,590.0,650.0
2272,Washburn University,,,,,,
2273,Elizabethtown Community and Technical College,,,,,,
2274,Delgado Community College,,,,,,
2275,Avery James School of Cosmetology,,,,,,
2276,Dillard University,,,,,,
2277,Northwestern State University of Louisiana,460.0,530.0,600.0,460.0,510.0,560.0
2278,University of Holy Cross,,,,,,
2279,Saint Joseph's College of Maine,490.0,540.0,590.0,480.0,530.0,580.0
2280,Eastern Maine Community College,,,,,,
2281,Allegany College of Maryland,,,,,,
2282,Maryland Institute College of Art,500.0,565.0,630.0,530.0,595.0,660.0
2283,Baltimore Studio of Hair Design,,,,,,
2284,United States Naval Academy,560.0,620.0,680.0,590.0,640.0,690.0
2285,Mount St. Mary's University,490.0,540.0,590.0,510.0,565.0,620.0
2286,Ner Israel Rabbinical College,,,,,,
2287,Michigan Barber School Inc,,,,,,
2288,Ross Medical Education Center-Lansing,,,,,,
2289,Michigan Technological University,580.0,625.0,670.0,590.0,640.0,690.0
2290,Ross Medical Education Center-Flint,,,,,,
2291,Gogebic Community College,,,,,,
2292,Mid Michigan College,,,,,,
2293,Monroe County Community College,,,,,,
2294,Grand Rapids Community College,,,,,,
2295,North Central Michigan College,,,,,,
2296,Lawrence Technological University,510.0,570.0,630.0,520.0,585.0,650.0
2297,Alexandria Technical & Community College,,,,,,
2298,Minnesota West Community and Technical College,,,,,,
2299,Hamline University,540.0,600.0,660.0,520.0,570.0,620.0
2300,Specs Howard School of Media Arts,,,,,,
2301,Mississippi Delta Community College,,,,,,
2302,Mississippi College of Beauty Culture,,,,,,
2303,Northwest Mississippi Community College,,,,,,
2304,Southwest Minnesota State University,425.0,468.0,510.0,440.0,480.0,520.0
2305,Rust College,,,,,,
2306,East Mississippi Community College,,,,,,
2307,Fosters Cosmetology College,,,,,,
2308,Academy of Hair Design-Grenada,,,,,,
2309,Winona State University,490.0,535.0,580.0,510.0,560.0,610.0
2310,Pinnacle Career Institute-South Kansas City,,,,,,
2311,Fontbonne University,460.0,525.0,590.0,470.0,515.0,560.0
2312,White Mountains Community College,,,,,,
2313,Nebraska College of Technical Agriculture,,,,,,
2314,Continental Academie of Hair Design-Hudson,,,,,,
2315,Empire Beauty School-Somersworth,,,,,,
2316,Franklin Pierce University,480.0,520.0,560.0,490.0,530.0,570.0
2317,Manchester Community College,,,,,,
2318,Paul Mitchell the School-Portsmouth,,,,,,
2319,St Joseph School of Nursing,,,,,,
2320,Monmouth University,520.0,590.0,660.0,520.0,555.0,590.0
2321,Thomas More College of Liberal Arts,620.0,650.0,680.0,510.0,530.0,550.0
2322,Eastwick College-Hackensack,,,,,,
2323,Cumberland County College,,,,,,
2324,New Brunswick Theological Seminary,,,,,,
2325,Holy Name Medical Center-Sister Claire Tynan School of Nursing,,,,,,
2326,New Jersey Institute of Technology,580.0,625.0,670.0,610.0,660.0,710.0
2327,Harris School of Business-Voorhees Campus,,,,,,
2328,Princeton Theological Seminary,,,,,,
2329,Fortis Institute-Wayne,,,,,,
2330,Bloomfield College,430.0,480.0,530.0,430.0,480.0,530.0
2331,Felician University,460.0,500.0,540.0,460.0,500.0,540.0
2332,Camden County College,,,,,,
2333,Albany Law School,,,,,,
2334,Central New Mexico Community College,,,,,,
2335,American Academy of Dramatic Arts-New York,,,,,,
2336,Saint Peter's University,470.0,515.0,560.0,470.0,515.0,560.0
2337,Eastern New Mexico University-Main Campus,430.0,490.0,550.0,430.0,475.0,520.0
2338,Northern New Mexico College,,,,,,
2339,Arnot Ogden Medical Center,,,,,,
2340,College of Saint Elizabeth,,,,,,
2341,Institute of American Indian and Alaska Native Culture and Arts Development,,,,,,
2342,Bard College,,,,,,
2343,University of New Mexico-Taos Campus,,,,,,
2344,Berkeley College-New York,,,,,,
2345,University of New Mexico-Main Campus,520.0,580.0,640.0,510.0,570.0,630.0
2346,Union County College,,,,,,
